"sampleID","antibodyID","antibody_count","counts_subsampled","count_scaled","treatment","uniquenr","treatment_uniquenr","sample_folder","well_name","plate_row","plate_column","Ab_name","Ab_barcode_nr"
"plate_6_187","ITGB1_98",13301,3273,0.512466715081094,"vehicle",17,"vehicle_17","plate_6",187,"D",1,"ITGB1",98
"plate_1_178","ITGB1_98",4947,1975,0.198257080610022,"AG1478",31,"AG1478_31","plate_1",178,"C",4,"ITGB1",98
"plate_2_178","ITGB1_98",8026,2313,0.280077463083999,"AG1478",32,"AG1478_32","plate_2",178,"C",4,"ITGB1",98
"plate_1_168","ITGB1_98",10141,2345,0.287823771483902,"AG1478",33,"AG1478_33","plate_1",168,"B",6,"ITGB1",98
"plate_4_168","ITGB1_98",18638,2924,0.42798353909465,"vehicle",18,"vehicle_18","plate_4",168,"B",6,"ITGB1",98
"plate_5_168","ITGB1_98",7185,2797,0.397240377632535,"AG1478",34,"AG1478_34","plate_5",168,"B",6,"ITGB1",98
"plate_2_185","ITGB1_98",5651,2577,0.3439845073832,"AG1478",35,"AG1478_35","plate_2",185,"C",11,"ITGB1",98
"plate_3_185","ITGB1_98",15545,3503,0.568143306705398,"vehicle",19,"vehicle_19","plate_3",185,"C",11,"ITGB1",98
"plate_4_185","ITGB1_98",10111,1994,0.202856451222464,"AG1478",36,"AG1478_36","plate_4",185,"C",11,"ITGB1",98
"plate_5_185","ITGB1_98",7204,2236,0.261437908496732,"AG1478",37,"AG1478_37","plate_5",185,"C",11,"ITGB1",98
"plate_5_157","ITGB1_98",13595,4304,0.762043088840474,"vehicle",20,"vehicle_20","plate_5",157,"A",7,"ITGB1",98
"plate_4_181","ITGB1_98",51389,4464,0.80077463083999,"vehicle",21,"vehicle_21","plate_4",181,"C",7,"ITGB1",98
"plate_5_181","ITGB1_98",3189,2500,0.325344952795933,"AG1478",38,"AG1478_38","plate_5",181,"C",7,"ITGB1",98
"plate_1_177","ITGB1_98",7348,2796,0.396998305495038,"AG1478",39,"AG1478_39","plate_1",177,"C",3,"ITGB1",98
"plate_6_177","ITGB1_98",3869,2384,0.297264584846284,"AG1478",40,"AG1478_40","plate_6",177,"C",3,"ITGB1",98
"plate_2_166","ITGB1_98",8524,2613,0.352699104333091,"AG1478",41,"AG1478_41","plate_2",166,"B",4,"ITGB1",98
"plate_3_166","ITGB1_98",9232,3426,0.549503752118131,"vehicle",22,"vehicle_22","plate_3",166,"B",4,"ITGB1",98
"plate_2_167","ITGB1_98",5998,2485,0.321713870733479,"AG1478",42,"AG1478_42","plate_2",167,"B",5,"ITGB1",98
"plate_3_167","ITGB1_98",5643,2600,0.349552166545631,"AG1478",43,"AG1478_43","plate_3",167,"B",5,"ITGB1",98
