"SosActive"	"RasActive"	"Raf1Active"	"MekActive"	"ErkActive"	"P90RskActive"	"PI3KActive"	"AktActive"	"C3GActive"	"Rap1Active"	"bRafActive"	"SosTot"	"RasTot"	"Raf1Tot"	"MekTot"	"ErkTot"	"P90RskTot"	"PI3KTot"	"AktTot"	"C3GTot"	"Rap1Tot"	"bRafTot"
493.4175366070895	95.70423517186535	2.229685183211843	783.4470511741254	9988.758188932114	5716.598621053229	117402.4983546225	82399.87303936877	1942.297000630515	396.34953256271535	20.384531608744986	112918.59620194965	112853.80809249943	116296.8682837945	663430.4000637804	664125.4297521125	123763.48173671235	140230.25687163224	125603.25163398779	117532.17213674198	142034.21052452337	119381.73037829633
442.7103912074552	87.89959705743482	2.2546366402415736	780.3081728242182	9104.511604581396	6142.952244927979	89878.05778994007	68711.14066490014	2221.808452609917	443.93827599711767	21.829785845720146	107272.8718707402	124761.5127236957	124519.5413811343	614956.9219702423	576692.3663707315	149273.92905278385	106863.9998584469	116049.15804413751	134808.33582087385	128588.2272418338	115796.5557054158
676.4117399800872	134.1779248547855	3.433757232232558	801.1316046285036	9383.595759839613	4917.4457990859355	97646.55430218653	73337.87895648195	2029.6097826513608	403.1646868223777	24.30554170978348	137997.5227780483	124282.3152075262	133295.32058069092	540709.6974288364	580336.7085630957	111619.68836332054	116238.73427120832	119784.67271788801	122918.85112210808	125214.39756840446	156098.8801107253
610.1944702309737	115.89566030706567	3.1219457984618413	725.7077548507623	8356.877172624352	4472.518418311575	100098.0570280285	63865.786624778186	1816.776361599146	355.51839610625564	19.295046139468784	115341.23707927024	103771.70463175549	132922.14522867638	614423.8716693704	564626.1188535797	113768.40947376192	119209.11791377218	102905.78198923079	109804.13141600984	117288.70116886841	115634.62814797676
574.3377358240192	109.54331933228252	2.6283837148387947	667.0334592787505	8147.090845422306	4573.921746513472	112958.06622728534	77638.51575444419	2028.058303436588	392.7562955454559	19.600385337588754	110346.22480712898	105477.83280484426	117807.91698915944	564294.8386383393	618659.2807260152	120035.96399543017	134816.0787226565	119889.28762846313	122823.05505440955	112335.72340051139	101409.4681239123
603.9545556512043	118.66415269786283	3.0915978052949327	698.3026856964065	9031.923689200747	4285.198126115885	90795.66372910298	66991.1101887554	1650.6116452704775	329.52652675103405	18.50497702789127	110448.47145408431	119176.53637620539	126622.97434231717	613595.2906183163	679221.4707022038	99627.90755468183	107965.30381414802	112562.6078862841	99602.34439665334	128022.98398046229	118816.10000369878
550.3766587036479	110.96698063111818	2.9269117558870987	726.5769044873015	8846.16537010649	4978.022631303043	97190.1484557893	71596.742021957	1966.8394033406923	387.7157052417751	21.704331838802467	112917.3458211366	133878.68122985342	142626.01517871112	553604.4312151314	616056.1358960527	120751.39170084434	115691.510196846	117091.8635060145	119045.37780135071	121057.47009741672	138298.56716187473
579.2444868519956	112.03875172710566	2.6391398875727052	780.9093865549854	8833.35896214097	4735.269237183037	101937.33376752416	73718.5749522299	1952.251553537183	411.8967903421865	21.602412533667298	114356.15182369685	111578.32149175151	105597.33933291605	610996.5837745501	549852.1801239924	114235.829418771	121437.4128788691	118323.67287488388	118145.85173269028	169436.53295584238	117369.58907913796
552.8463564749032	108.05521874538532	2.6778668546986317	690.6936929397511	8005.852132776635	4571.074060609518	100773.76287025872	75369.6643477146	2041.8138684629353	405.07823295858293	21.824385476474088	106096.56129974815	116534.500895924	125057.62367297892	526366.0106030339	570047.9174607197	122299.74017292805	120028.94510381728	121608.22255891048	123672.4920837285	124515.93391470738	128615.6092172165
696.0769215810542	137.00896251338577	3.8400502753396357	718.8970480555686	7910.407236428557	4057.258609260744	93209.32042137874	59906.0873004469	1840.3298233599314	359.3144333029428	20.762816767652833	122436.36707035845	120112.23096572839	140096.9931261805	547794.7619640086	526812.5654457987	108180.61929013848	110875.40306014397	99249.19584137795	111252.8473326731	116176.79170236996	122723.10952730096
523.4811642376108	97.78065389193637	2.286946458710896	892.9657660172136	10162.648967107383	5692.391981437078	106491.94372185566	74171.79767032497	2311.476692339468	451.8934910053049	24.19417462025388	119515.20389262323	97400.79837243888	104335.17885536407	643349.0046671224	555962.7486762906	120849.34667538136	126962.98492368287	117023.85175335497	140370.3438809019	116879.524984889	142376.68493897963
553.6822726257229	108.2567553653848	2.8609646492571743	782.9942364122448	8634.82559479382	5294.693461725204	106408.0269092786	63332.795279711994	1919.3682592001705	375.0838641510461	18.980763512806416	119337.787107173	116708.80271529939	124281.25692759044	689799.4793060308	529120.7747152223	133185.10821540942	126858.74185891812	99605.83006075259	116119.1050847455	116628.86416841479	103278.14914154226
631.8461264451569	123.04468372502335	2.8490373051613496	824.5603913367584	9978.036929515563	5217.2630997999395	104019.77085793167	76436.8200851339	2077.9516470792873	409.7387997804247	21.976514776669344	134941.11493379707	114762.59031907862	104808.20019585225	632443.256600234	610977.498575887	111647.52505910877	123958.6919459803	121810.62497925942	125905.15359437668	121225.48200021338	117396.19734524787
713.4881329068475	136.76762675622936	3.51885857551432	661.6877018809636	8458.365426973709	4365.984254567779	96041.625363982	72421.66228187448	1993.6567185361512	387.8320462447035	20.98077543598784	132786.00076074337	107610.31349650005	133449.91893794172	502030.41627546574	665888.5947300212	109244.86815357086	114297.54098101839	119067.93854534347	120699.66459745362	114434.72983929091	107942.58341754656
663.6123504447124	127.85436545998338	3.2973284805869634	732.0105059377665	8426.365496221975	4500.644886405869	110985.16536880934	69321.7836450798	1633.934233331177	318.9703086111192	19.28817539827902	126250.70399805381	109819.70056879055	127634.02568381208	615224.7704161569	564361.9558426783	113545.51818635454	132412.7361542772	107492.1752218096	98580.21966299064	116078.96773319489	135679.790768783
514.1146927152456	99.67476896983084	2.1929447597389427	848.6601007782875	9944.079502860717	5643.7032835501	112914.58912750098	84951.6014937423	2070.6296777985162	407.83300000914926	21.3523381695544	116518.67755360976	112651.32555338947	102969.37672923316	694061.9480331853	581094.883733164	122558.6127948814	134765.6428187432	131484.39802241675	125452.66268258075	120630.41832754311	124627.99938610644
588.5399581520509	116.48137336590888	3.0435974288833902	754.1844509048489	8760.193856346154	5073.321892364923	97213.67419306947	72106.47830878038	2133.267025277563	418.5807166788254	22.644607136457704	122733.05738487901	123023.12823010606	139543.05442756796	550693.5324807242	572460.0730603855	124749.89056266205	115718.82823310207	117936.33881657317	129325.65641322905	118686.62544329744	126402.97737006517
475.583909616798	93.0832710117892	2.3208017776628638	863.0946007603306	10192.257730667527	5153.756033205834	87591.67186152602	72578.19996069439	2037.0400449623378	405.9704134473334	20.866483726766262	100051.96299478905	117213.6466693043	121849.53860194392	720149.3846479177	588304.9010855242	107608.41875340437	104105.9916230311	124198.92416178435	123377.67226742784	127071.25765907115	122504.8513848644
607.3462540850895	119.96397168519238	2.9743966172651506	814.9017339282344	9475.288477231858	5879.417131681205	116324.76848950097	68228.9283792971	2078.3030205859463	413.033203500317	23.331819102301083	142826.69725704502	121950.77773169447	111885.35816341647	584704.3900683309	573909.5579952364	135556.12758393167	138911.12784496095	103946.01537109623	125926.8697563316	125485.82787997046	140214.92943877095
537.8558543170977	103.71207316954292	2.5955758249061835	677.8363797093532	9253.670448503059	5627.177977565782	110077.48508774735	76696.3269371083	1810.0111614241948	350.65385398315664	18.278131904326443	121712.66507571055	110174.89442415214	131681.08728573867	616582.844112267	743663.219407102	132283.10248942405	131315.49647977154	119564.57690987381	109388.14167446348	112471.36663915582	110438.63929943838
490.1724209173021	92.68123010264125	2.341284257071867	773.2009841709295	9328.312578426843	5311.022942845119	100394.36019582134	70049.12441841247	1993.369544063377	396.51026044936253	20.114820503221594	105680.97656822504	101969.26052246515	121613.09902108314	658812.8470548552	607615.3016200352	122653.81293506631	119572.8250607897	112982.35615901172	120681.94506658125	125981.31035129934	116910.39771546004
561.3916523058656	111.24175286319218	2.8537368739711937	726.3570184148908	8995.677618804733	5080.941921978618	96229.49580523591	77777.68949076142	1926.0110788494117	362.53477661730705	19.188982340573222	117106.4781484356	123674.87635693428	145140.51706742417	626843.8244982277	633086.5643933277	121349.32433106136	114529.83763495885	128033.53919168135	116528.42886977343	100438.28715116756	112284.38686403185
649.0764978055381	127.89078982407297	3.0727090121084855	789.4820527049332	8746.117289500879	4634.860282830607	96631.45444436348	79096.50211560445	1762.1190880613224	350.00340710387246	20.76703072619921	126285.65854179327	120649.72159619055	120839.17766715883	630347.4582360183	532818.9581384276	112705.28949576836	115012.43695065232	130041.72834770361	106444.82078898183	125139.64137850706	137987.57331080336
520.5271190727088	102.36475461990676	2.4764403836275086	903.8601280008676	11002.842747545143	5554.38878414439	97658.82552876085	75721.11875144806	2499.63285312786	484.0647523610864	24.261662453795825	116479.44247225871	119630.80202539112	117190.73319073473	645147.2051404502	617458.4696230361	107816.04788317188	116260.15613999356	123781.73928210155	152072.80006817443	112381.28825303636	117696.22589940156
676.0272779121425	135.89524479510686	2.828767014797223	637.523994908053	7561.92908681377	3933.579075302344	92795.24455278693	92127.1936166016	1730.4828370951575	336.40637289528314	18.95464157282466	116110.80828597241	132035.22225866767	97739.46861848402	548778.5778542152	590414.8115666172	109739.78296243066	110375.60516250375	154960.5386382207	104502.02430990821	114076.38931022928	109529.37754343325
