"SosActive"	"RasActive"	"Raf1Active"	"MekActive"	"ErkActive"	"P90RskActive"	"PI3KActive"	"AktActive"	"C3GActive"	"Rap1Active"	"bRafActive"	"SosTot"	"RasTot"	"Raf1Tot"	"MekTot"	"ErkTot"	"P90RskTot"	"PI3KTot"	"AktTot"	"C3GTot"	"Rap1Tot"	"bRafTot"
129.3274272880851	2477.842124910065	62.547203876600065	5231.719662217139	65526.93939273689	32506.938231226286	91622.2158770301	83846.31471786156	2611.05241149149	514.2669407684093	100.14982632244067	141362.30708611014	109047.20301822739	137887.91004071038	608392.7207961272	684857.8377504237	132768.16931945502	108523.27254172142	141331.89613933812	119170.88843203458	120689.7665470183	120618.58779152369
133.61756649109395	2629.2644750159798	65.63374769681577	5404.030530887047	56650.30804682676	26105.37116157727	100089.77566043509	78541.9070649673	2552.5990054641597	475.48239658675953	104.83283537886648	118051.78215051348	121563.1152219464	121583.6032427285	598752.8838831376	529516.0008290354	118377.12975047337	118678.25658717063	127225.28071993442	116454.18445123601	96697.42529807915	122310.24196964309
123.69530969603157	2443.1360914345073	67.08746166006544	4847.5856861998645	57172.892920417595	30331.000153859724	86710.03846431998	60042.00556243159	2566.1373453849046	508.06288116940823	100.13651041418258	126228.74019606464	123388.64305962576	117746.27025688936	542339.1884250168	622233.9649542447	138536.5146940504	102633.49318652181	102628.28763479948	117083.19500927912	123462.67119232181	125601.14374886511
143.3918851063874	2750.4331310062953	65.47117082216924	5538.419877480557	71799.8625790458	28438.761757966808	104243.78141773053	90134.14017860095	2219.6509837974363	437.73800483238006	107.15242221449411	137862.84918591546	109720.91897793647	126543.0143594305	606773.4343671458	725060.3299179957	106424.91389737367	123658.52232814912	144186.4151939963	101023.30317224402	121313.45560342037	119960.37148347303
128.65214518323634	2552.4180336997265	61.02418967062955	4524.395142068575	54246.757354552305	27204.990556063927	116284.09788831056	86508.09767261369	2826.9235674558067	528.1641320254286	99.69109009485535	118208.95639153705	125855.80129605973	122059.33748452553	525160.627278318	634837.1657671884	128707.10572771974	138252.79062209037	132483.81945649517	129223.58772231925	97808.35116808763	109731.61283444775
118.90267608527661	2392.219782701319	64.01106598258575	5996.631694136001	68656.35137578953	27131.789427307784	101620.1730370528	67403.41008746668	3395.8643376123428	667.0907337016372	103.8816075650658	108807.88240476289	133847.5489089942	124557.73951597953	684335.3588226336	605671.9488003528	104922.40623185334	120570.45732910678	108084.87306972498	155868.15684447953	119433.7329070916	124674.56561138722
121.61300169693465	2441.1908536654746	63.21357340637026	5679.14836279548	62200.610588234755	28613.55736458029	93747.58000844531	72849.70864021948	2892.5471937380407	587.4233430035462	98.70958901477262	117221.6428397723	132496.99648962062	123994.85092888362	670542.2600838151	565672.4641907465	120706.80978501879	111083.97984692272	121024.78408090807	132285.7392565585	138836.53263467882	112180.33128512766
104.85688607925275	2063.5467131319683	54.97041399609589	4664.658989381702	56967.18929684914	32198.900329163	102824.28068879337	68619.06169330757	2908.0579809010273	570.5688435048055	86.3626929175988	113061.75966381613	121254.92404626605	127375.28985538085	626575.2487004503	654009.8767089024	148561.69178443437	122091.29711149647	109564.82101143691	133009.9311960312	118750.9808101018	117582.30910930986
132.7024581994749	2618.768932459731	61.9183386130861	5336.839694402566	61483.3747717218	26289.93723217988	92422.21612039595	79471.21006802873	2690.251203186096	541.3902757795586	110.42181909725362	118029.06420236033	123044.45444951665	106392.76599150263	583354.8165415367	605333.9941234427	111169.99267960868	109458.54755923495	133200.36540159883	122855.40190986118	132945.30292397388	133793.3347303779
127.67666894966001	2483.0500627077067	60.62912186314436	5403.900838155014	56588.23338951011	27719.28247077927	115926.06966016535	72101.78448691018	2704.9945359087365	520.6747922399455	96.53068739588483	119444.0836320978	115709.12092736478	104255.3802104367	655827.2502922192	528721.7024203187	126555.37670220071	137836.00815602174	110101.43213246785	123541.75909705299	109682.72294240961	108464.3541904852
137.53786459399262	2524.7168086750444	58.54151791652031	5145.109385184917	61637.12087677512	26194.268405484563	115878.66142352419	85571.77222241084	2632.78439040719	523.1331238079654	107.2285741797354	121984.40916037344	93336.11180793194	110676.93892062201	584881.5319073987	639562.6932771843	110497.0979468629	137768.48218263817	131185.38116373355	120181.49397585967	125450.91898957892	137911.14153566954
121.82425727840753	2459.5453330420596	62.20909600488537	5526.292301015956	62882.940340352165	29476.157958017964	107070.0350813956	77950.3962466148	2469.6362397240455	488.31247256674607	96.49080656011449	120868.51941596362	136046.99147626388	125890.990390705	665195.8773097743	596180.4829057727	123531.48804776372	127131.28786543566	122875.61414029707	112602.28306223081	122737.35438560566	114149.83133820874
144.78632715043256	2841.355771718513	69.20344159052864	4755.824591507725	57194.61067514034	24047.653617401877	109610.10127796904	76814.8890606325	2441.3307471310814	490.9490693838501	113.14582287076298	118361.66816170189	120331.71315845492	109789.76378988552	483019.5758961663	639803.6421039638	107355.48727583956	130113.80095914307	119948.9293041973	111289.12762750202	132478.45600397955	121770.54241047971
106.56076534492964	2082.745939884115	53.51537035523629	4967.558654339459	61569.1384868268	29826.31464527587	117515.61913483166	73470.11410864191	2995.8637736117967	585.3145368787136	90.61039173378698	106680.72783627722	117830.33313788896	124306.75150262036	657773.7280800766	671618.7884312423	127432.26322112208	139861.16074155364	111678.69464517823	137112.59449165722	116650.63701045647	129119.28148742641
141.51876770936278	2764.7234782401333	72.55999751382433	5918.419410057428	69392.90006289513	30418.221527660524	95468.42051884174	80071.77402334315	2693.389203226482	539.7850592705183	112.16465756094895	145253.83004554632	118055.41208413278	144243.41000069107	605721.8633854506	626316.8024767685	117676.867993947	113091.69906818039	132373.93923863512	123001.47535278743	130424.21179030585	121949.95410860909
132.05444932482723	2576.777827183371	63.98029154501702	5947.328918425786	66808.24310261926	28433.38022461962	102999.70134638165	64950.41598186615	2731.4456533396356	528.8025412036254	110.0933016348695	126714.29978912648	117359.28089845549	97431.7236019739	650904.6518160811	588868.6045144962	112873.0992351441	122195.1562421286	103508.08149516657	124773.52178424643	112278.04952006853	140223.104924636
140.0396751145215	2691.4666126997404	73.30541573408057	5224.194284056309	61473.99512717673	25070.04838001745	95141.25466212272	71110.029432283	2767.3886062500524	545.8085627411582	111.53074374002195	119091.39951435664	110528.9243080699	138350.51994194192	527390.2046772008	623463.7346097156	105609.75122802226	112712.29488124028	117315.86919575	126448.04604386438	121431.09210604976	127713.33819239524
132.98524220489003	2561.9399532452367	64.29684435245295	5106.031636000866	61560.095288169745	28760.479899358706	91944.98018051988	74164.51290137922	2396.9075030687795	472.60271709914485	96.85478216085127	129053.90749638328	111467.95654600552	115438.91036780595	598481.3853273189	645342.3418865398	122465.9661289959	108895.68220846671	124310.99409636972	109229.3074889279	121232.85298731622	106383.10286040152
133.68269494172534	2599.977246797844	69.59765937580632	5828.250352794149	61131.20308310436	27181.645850435532	100575.58057888794	61009.32124879948	2603.8590523448247	516.7825483262359	111.7917696840954	122821.3821569299	115809.86138760968	110931.96622786878	607687.963577441	533505.9198612096	115839.25916623414	119269.26094739547	98017.3082463204	118836.44399242588	124798.01208228548	145025.7459330084
