"SosActive"	"RasActive"	"Raf1Active"	"MekActive"	"ErkActive"	"P90RskActive"	"PI3KActive"	"AktActive"	"C3GActive"	"Rap1Active"	"bRafActive"	"SosTot"	"RasTot"	"Raf1Tot"	"MekTot"	"ErkTot"	"P90RskTot"	"PI3KTot"	"AktTot"	"C3GTot"	"Rap1Tot"	"bRafTot"
1269.5479900269684	246.44683512312537	5.465643064640805	1176.8109360965234	13965.812167330312	1550.3497856598976	99294.78113716385	85219.27479240122	3018.0772184432126	601.6947498265722	34.21614951247067	121083.43266129203	113340.3183361265	105079.44533289463	556823.9385465744	595613.7710575494	115507.74155535668	118209.25497558381	138838.4965595467	138151.3240264911	127388.0993699416	106941.7595810314
1199.1346475076275	234.73418686702965	5.832047780377396	1141.5343205448655	14185.437204482321	1634.1935183416801	92707.58668917713	67271.70349482397	2441.5314435929304	465.8072285932687	27.69665116921208	117531.10524295183	117379.37613723705	110364.65551539474	650293.9898103148	640206.3513085125	120564.98679921743	110250.61374392505	112038.77365206247	111298.43651187202	105850.65684078078	102937.40214419628
1243.6849057503448	241.86466416226605	5.761946455731575	1300.211198816803	14038.02828599492	1319.5040099819953	105816.55234824048	76204.40304267981	2293.823327959524	475.341445186611	30.4921142791609	109206.03773808751	114193.51237645942	112417.82326962712	689869.3383495301	516986.13956924115	95651.75516167952	126110.61501230362	120610.60414913454	104454.54140693009	153623.55080719397	125406.90974932491
1066.394830111148	213.43218819777834	5.303277510528051	1219.5067286994026	14581.335685322092	2079.370664830986	110345.7368445032	74343.91711270719	2609.149374767255	504.08969524878785	31.23338270903031	119791.82675345232	129437.4348438762	123448.30550454563	635813.5815622186	602995.3579716295	154964.44761388443	131615.06150768386	115706.75231881769	119082.4062356657	111325.07856052705	134567.3537693636
1408.0598352499715	274.5824515583712	6.9112637625244835	1115.5813178863848	13117.071141238463	1490.1826299978482	107452.44974725659	64565.50041112178	2383.6313534188603	464.2585073711887	28.93694942499582	131788.8290689949	115529.7637251279	109497.92369204426	587630.7600656145	586565.7854855865	118520.96025375366	128087.65420635784	101204.5379668011	108613.97252558351	115066.0278375554	100125.56229544735
1097.175898947964	215.9580819543033	5.048102900738015	1165.6724771228264	13463.77898552957	1521.9940442497307	110309.7201545823	75466.3259501364	2781.562946543256	553.0748070324437	32.96138623315122	103366.17455803104	120164.25985153834	105686.49581544627	578076.3124037249	571078.8826466589	117884.70400203485	131570.69813866905	117508.37498102643	127108.6435582201	125853.81508973244	127643.89468288493
1172.895126345621	224.6719967509875	5.226754179377425	1139.903629588069	15072.511272165913	1591.8753645271365	97283.42343336505	77900.99073811831	2478.1249045522777	478.87721826726226	30.57301293740383	113294.12771081361	107369.92742465659	108006.96051316483	602938.1026922069	708512.3476528596	109229.2625392572	115780.9412276823	127655.76971115168	112996.19519675388	111403.8603757632	134101.4143553353
1156.2097212254532	221.63622762898947	5.532166768944716	959.0743500052962	11947.29490335511	1365.1928923976727	109174.55171085452	74182.95307377972	2571.8364466935577	505.3531474700885	28.809830043977648	103121.7234520991	107677.26530386972	124761.69534240135	520921.01745802566	641112.2525419098	119182.67490929164	130190.5423681961	115921.54095931273	117348.01992281897	119467.71349757747	103300.6720176136
1425.9771492339496	285.3898449788552	6.983256220081162	1159.288882522736	13502.63973268262	1606.2854675290791	88132.23493362163	71195.3476804869	2361.9494134555075	472.78909551249944	31.028971543053295	138938.71889862983	129457.80780573383	112135.73331917977	574492.295420066	578426.3561997765	125044.70840675787	104722.59295979663	121422.54609740409	107609.29006922322	129664.48005335014	112141.61603869066
1182.112704205483	234.83604684243733	6.444569793053376	1151.6896321257498	13543.731284498044	1838.105104781204	96855.89681460583	64615.153829492454	2588.754887829834	503.0702428255637	29.79673677105048	123711.614015316	125157.90737729684	142091.50292695724	601599.8524474663	587022.3603042994	145944.06417795137	115261.96252784267	105546.81185003917	118134.31089191278	114014.76096751245	108394.82340836404
