"SosActive"	"RasActive"	"Raf1Active"	"MekActive"	"ErkActive"	"P90RskActive"	"PI3KActive"	"AktActive"	"C3GActive"	"Rap1Active"	"bRafActive"	"SosTot"	"RasTot"	"Raf1Tot"	"MekTot"	"ErkTot"	"P90RskTot"	"PI3KTot"	"AktTot"	"C3GTot"	"Rap1Tot"	"bRafTot"
885.152379486809	173.87928159251067	4.536733864248187	455.9857716201001	4796.060456335157	2834.0252656971484	87675.10781841386	68994.59087220386	553.1938852993126	112.69258220153142	11.563902721592479	120892.80071510939	119111.03889102723	131252.86698965722	529130.7960774234	490417.68812725454	125333.8795579987	104191.91683385264	117825.98893877275	124169.13680261628	140696.4497768806	113345.8473572306
928.2907511890095	184.13594156711775	4.151812294171789	442.2965966631683	5438.38246749832	3338.402417350754	114879.26777533063	86745.52055726104	444.6290987363674	85.64775666505028	11.318282661422225	142284.05414702944	124293.41398271418	112510.49446635297	534726.1862144385	623319.5795092526	131394.54592143095	137134.91412093534	133460.478747347	99406.36224867441	109705.7154231172	127067.12793386722
944.3727607824195	194.2729917280079	4.26758118279052	516.6023097935745	5487.432180567785	3016.9191858764393	114576.08072960256	83885.352008384	553.3524261183074	112.1403988127498	12.504002678363817	134814.04203429047	147796.517569998	100803.50395072401	581073.7729986007	498125.5537081013	115733.84274978	136763.38957413606	129081.37596022383	124205.44244116488	137188.18142023875	116725.40371124771
939.0349446481899	179.7603451569415	4.126275545140903	393.0466263953292	4690.409327695855	2720.683129118543	99244.53793726487	75626.26786541693	437.98924757150985	85.94141265304499	11.036512540690012	124912.00207524397	107066.32704809877	101074.58379465301	479843.0173895267	593918.0613996633	122616.95111706815	118162.50109540399	122800.07602625554	97898.2156077123	118477.77637567496	123416.72044114821
850.2979867659852	165.83768869551864	4.271693968630038	468.7454629918793	5227.299936688988	3085.5351935001954	99158.50338231357	64600.089370530266	432.3907662685032	85.61324301284247	10.868800508123343	123039.00192567038	115525.32730400133	117436.92878907153	584417.9872918217	535407.8701128454	125432.97088997395	118061.32175033078	104513.35136248734	96627.16751410796	123234.47365943254	139703.3140099374
702.4397452832636	138.3717184322549	3.45464759429658	461.17887418501255	5206.054956010999	3200.9250938303976	99270.88922301952	77224.19393923251	518.594370613352	102.15803638024629	9.797747146614526	103940.71430623553	120529.52220252267	131638.14868137534	666972.5017645818	545390.4086078905	131497.5966816279	118203.11525531778	125454.53159356306	116255.94819363696	120514.35808746044	116963.30712480933
875.7940238602542	171.60589552690013	4.107726655352188	500.31960703513056	5846.769545701426	3393.5547614761535	87382.8871232773	68111.77502036213	501.2966614056591	98.03470547379888	11.619294205812874	135655.45870889426	117824.67541265067	101370.28787184434	602529.1158506597	575650.8024970368	123376.63505029425	103840.15924414675	116445.29829412088	112307.31339677658	116805.46217119682	138016.68089442878
780.7436692327808	158.56605751948896	3.5687754670621854	473.1582073757798	5586.574521496088	3122.740624738149	97776.46446281078	79751.17212383843	520.7514171142005	103.22443469664574	10.548995676736492	113744.57116446411	138656.39782938396	101692.03959707709	639069.2949885152	584743.8642674619	118006.17319706506	116390.82128025843	130502.57424126116	116748.69778003918	123859.76698531331	113196.07294345734
748.8903655806603	142.72932058353325	3.5307591669085556	504.0753639128721	5778.503016767592	3361.97451636115	111887.53393446656	76031.7108797695	643.9230021472517	128.19924562757691	11.905673298938948	114869.52021806367	105193.67123248645	125519.17324733408	620537.611197454	558794.590065079	123678.11177391956	133506.0405322393	117773.40300723232	145015.00503758137	126321.36903238513	147044.26037203666
834.1630342118375	165.35164146165894	3.9965595873163307	428.4679964605366	5504.594106968109	3361.032773575637	93040.07604896725	83715.71743934328	590.3178996271972	119.20828896063301	10.784050033015372	128186.66800561911	123905.03938994568	132032.5788271108	543014.3446087649	669331.5718310197	130620.70006263288	110665.50485726354	140153.87377366048	132681.9908051482	134888.44669410092	96043.96904191902
831.0700520714239	160.08825939044144	3.720664029241877	465.34247500696034	5497.368963967051	2853.2157426514646	95452.10796193186	80655.20743212449	509.5826836880933	99.29416978603935	10.789077632875465	113895.88661583545	109760.91690558712	112340.8926115413	608051.1651705254	585188.5365053222	108389.19809430008	113580.29630198269	133378.92049222268	114198.18312937586	115032.22474864364	124016.26537108317
743.1770409346194	148.04983962164448	3.6469093348952066	469.1814958175304	5423.065432483655	3354.5079919677833	97281.58546245223	67852.03627447977	594.6234607256791	118.94420474008471	10.630773065742208	113796.35297220007	126680.2582597057	109131.32706109996	624979.5673178333	565658.690827357	132557.90839869564	115794.46537093085	110768.2948935284	133670.79034820345	129053.73320033895	109469.18210479293
829.6004180160835	160.17776741722508	3.9870886601518474	519.4321486298841	6071.5857584193145	3559.234049924526	99439.08620909712	73786.09168765415	570.4126227923713	115.99154373648553	11.487607179368268	132866.71026680036	110802.91888903319	123272.52699085709	640163.2232102142	576033.7749066191	124930.9832422942	118402.07033055276	119635.20473366421	128114.66565444261	139466.9936272489	123785.1602792244
805.7960577690758	160.31229362334503	3.8770494755588287	412.136366934641	4947.010395805674	2796.5225283952213	94838.99183181315	77037.7003564526	541.992139765581	100.58166092809296	10.243758366307087	108883.24625310903	125935.934337654	119194.56302252763	547146.8269439929	599591.6887908487	119177.61077234219	112839.3638318245	127564.68174562661	121605.01669358456	95104.1577408271	105490.28330002989
