"SosActive"	"RasActive"	"Raf1Active"	"MekActive"	"ErkActive"	"P90RskActive"	"PI3KActive"	"AktActive"	"C3GActive"	"Rap1Active"	"bRafActive"	"SosTot"	"RasTot"	"Raf1Tot"	"MekTot"	"ErkTot"	"P90RskTot"	"PI3KTot"	"AktTot"	"C3GTot"	"Rap1Tot"	"bRafTot"
516.1719908855163	103.93446815585816	2.486905665364729	960.6312935026217	9478.096006674452	5271.984944149858	98046.48565525912	77172.52077063946	2810.400033641573	554.5972364491308	28.06537152881291	110728.11596232925	133052.53490199093	116079.51351104963	594512.1751544783	698832.059201521	119507.05968608471	116728.78632129198	126015.0272455605	128453.01636432423	121727.88994384397	127175.7607348404
564.3928886161625	111.59686527086012	2.7150417062111267	1333.5314876689797	10305.871498356004	5299.595366057465	106009.85328588776	78942.13288882119	3550.747043618903	720.6390598364504	34.90436987300525	121781.42787917505	122509.21557956396	125193.12884564303	680729.7128785116	480362.8689614173	109729.73155683119	126374.8523576292	124966.17131588353	163159.55530633638	138488.4150713559	119042.26281847277
685.2224887151367	132.93108357937223	3.1872782076357655	991.0129243080843	8481.791550499443	4043.135810169061	123609.03427309591	87491.70357165967	2888.636131932616	567.009770425034	30.455392654366253	120174.26592775248	112963.10644199414	136900.99646405058	552694.7739225135	556970.8659098023	99891.1240324044	147791.0583914665	131085.88746683503	132103.15898203215	118973.87433370018	134691.96502720524
471.0397149966456	91.12752752817994	2.1604655747475774	1145.1484477111537	10370.51999373537	6153.720465150387	102469.93664555876	87550.02260539585	2953.0090541223462	585.9012441807685	28.13891287656114	114427.83710535825	111654.35308261614	132465.3412914005	732716.8003513342	609179.7675254068	129250.34692950657	122087.2938232365	140909.2164988964	135109.59046507132	124673.96091262523	118050.74102791885
663.7378330233023	131.06588451155622	3.2191280325509872	917.1192398327065	7408.375985142919	3813.3511257004047	92436.27043276977	70586.99661220025	2349.9909091675113	461.2665062817784	24.987443613463697	111357.85636053358	121808.46762398042	112952.41124654112	617383.2179799924	509948.12375302525	108359.9493954657	109943.1200767191	117867.6358973844	107055.29884793397	118891.64396686167	124372.93499761373
657.2094627126277	126.75282984397299	3.220889044660229	930.0042241411396	8115.044610646273	4780.366240377932	90549.41812912075	57371.0123760388	2293.2720453720444	462.7280274565223	24.480809519013796	131037.84945104893	110283.89948125728	101080.89192605425	640120.5785082207	573414.2102707019	126839.63066873442	107666.65834754819	96122.95042955798	104429.02544172616	134565.36552764857	118928.84575668258
555.1775273911145	107.83456921176438	2.6089711012957757	748.7856103709051	7518.577029333004	4715.391957547535	90372.96044530973	83765.5365344979	2207.324414390588	427.9431910978714	22.23032213397703	109162.62893619051	113519.89950605278	132859.20800210416	567167.1783949723	718336.6699670171	136024.65292146817	107457.32253167486	142055.43831363972	100453.42474353175	112867.5339790079	119329.77770116291
673.8562322023538	130.25884764236412	3.1364358494234117	743.2821348697194	6792.530691377066	4286.617263324704	98190.82027488585	70918.97009732237	2496.3100490245424	486.84465804783014	23.92161513855433	123512.27695756948	111311.0534789868	107474.93399045848	511515.1831776157	615343.9389164189	136556.9706944034	116897.92454416383	115463.53625902602	113840.22890284588	115715.10802240124	98657.92304846148
615.9417669641352	122.28554000753729	3.216654091217369	998.2654509680848	8653.839911397754	4464.74014983574	99361.49528014743	76544.31384126017	2610.0127056898514	508.10617383797796	27.012633077661384	116291.05101260234	124741.87190242764	154475.17574843662	628268.2406916239	568081.465434231	109286.40419219142	118316.16873824345	124272.26746255315	119122.54673596514	114864.7884316497	129687.9399731709
696.0914234869388	136.98531408628196	2.963369814290253	810.3672336763168	7315.850926957878	4043.432407305294	135032.20996460557	90301.30623643298	2675.061548234725	517.9986233094294	27.741867094146425	122123.91469355479	120011.63320742095	105601.46517975767	489412.65948878456	603981.8232425448	117445.02951685358	161770.73520927283	131338.09601741674	122148.41874898477	112370.00262064714	124933.7549615093
608.4867365198436	122.64890002592425	2.936758115357105	860.4272170557294	8935.451767776938	5179.4713071322	96815.20264146212	82516.29839428693	2684.9952665504306	538.6582006181152	27.978731418035608	129094.99414819949	133709.1830899276	126120.73953519411	518958.77478095354	761770.5575546832	124980.49774925529	115235.68980817222	135734.35032869127	122610.75357624398	131044.19886925766	124439.89701149568
722.2731659958971	137.53698642953802	3.408030404583219	839.7088625108743	7569.253689421791	3875.4144165699936	86923.40277074344	64115.3781642076	2347.123753112773	470.0735094623438	25.704672619432646	122833.46506002512	104833.45153842299	104808.22999500844	539926.314205628	602728.2386457387	107789.56351450237	103292.59411706477	109672.67048122772	106922.48870943702	129981.86180380329	125186.33194610772
615.807347100041	125.40190055444612	2.8562527638504513	940.3062718111959	8504.041928975666	4392.584134890743	95998.40874081213	82846.950562187	2585.2792518332826	508.28754649590866	25.444791657909388	114813.63839402462	140451.20926339092	109741.58790193313	632635.7238553378	606541.2762003418	109353.62180368237	114247.6002065968	136787.9575451152	117972.76380894012	119765.7540629713	107907.71538088362
647.6318394341741	122.13216305910466	2.8203351347282553	741.9055230144515	6103.734057319573	3341.810729719992	99438.66566541184	76532.04187693338	2388.9362821638438	461.7102144648482	23.892906315942067	98671.95620162692	100973.6208579996	104204.42357891449	517761.0356345786	522979.24767786777	115521.58172940265	118409.6026599605	124212.0516192208	108859.83610679055	111458.87060165087	114202.08929170464
447.1075619300836	89.77490567939074	2.063193258733461	1048.1871934370115	10085.212423368941	6279.215118285928	94754.79510708261	73293.26513815114	3025.3664700255295	598.1728325736245	30.02970760967436	110343.49115133882	131307.26597668784	98451.95596363168	620479.4659275943	670904.9993689952	136473.5447600702	112751.68845643652	121230.19245531714	138492.25130274674	122786.02032650792	136234.8259454888
464.70775172334953	91.95404598360813	2.3394551330797015	1022.5778127450646	9275.336767665163	5692.273277152825	108439.59347970264	66997.98792234359	2788.0222393882264	555.6488812332466	26.84176024416181	105869.21219124609	122895.93402003824	118196.03640082796	672008.7804605458	609913.6126519174	133709.55598679953	129328.68496568235	104730.97150764057	127409.72462924474	127173.49830578572	117516.8673252561
616.7940322042293	122.62732584141334	2.9238926603204147	903.8396845053077	8038.709770983868	4968.6779045232815	95430.08179968478	82474.2588970062	2944.251650410135	582.7997604396163	29.24000576298137	126628.56174287842	125530.31659904782	124455.12643736853	524520.8831656004	590549.6318754761	134057.5245850937	113561.2039374529	136498.77858980227	134700.42665084364	123392.68097170345	116796.09483612508
597.7762726718765	115.02790007001434	2.693991519739596	908.92730705031	8222.83286400354	4345.926460259908	105250.60451668243	79497.07324040704	2280.509725691991	450.07380580515274	23.835774339592888	110482.89666449491	109264.21335373743	113041.57484486217	655037.7165062133	606635.7095710575	112087.28222038984	125453.03955099362	126225.99519272329	103838.38123472068	121713.57093517925	124720.94631889797
601.5851030885428	123.04845656640923	3.1600507238161986	974.6877508331143	9032.152914509354	4717.318669013968	93991.07609167814	77893.33633711441	2399.6187005660554	474.95877482472986	24.41915130179804	118496.50781940254	143551.78509607594	145878.760621702	678572.5097839095	630746.7071034516	111009.82793397065	111822.35914586321	129523.07781747768	109354.98291243879	123287.24352402773	113345.73932785401
556.2400380178663	113.28996342059897	2.4241036496092496	932.1197282163874	9008.317838435602	6686.171024631833	96586.25913345205	93023.07601002124	2572.575988962969	497.7409261994305	25.642190848898544	145325.78398402277	140555.79614425573	106365.67003610353	632341.9699786882	675045.3838935735	167147.31220577785	114960.76966124894	153802.58987513164	117382.38644040235	111976.51695051242	122241.49119845685
