	ab_name	sample_id	treatment	Akt-p_4060	Akt123-p	Akt2	BMP2_4	BMPRII	CDK4	CREB-p	Cdc2	Cyclin-B1	Cyclin-E	EGFR-p	EGFR-p_AF1095	ERK1-2	ERK1-2-p	Ephrin-B3	Fak	Fak-p	Frizzled-3	GAPDH	GDK3b-p	H2A-p	H3-p	IGFBP-3	IKB-a	IKB-a-p	ITGA6	ITGB1	JNK	JNK-p	Jagged-1	Jak1	Jak1-p	KLF4	Kallikrein-6	LRP6-p	MAPK-APK2-p	MAPK-p38-p	MAPK-p38-p2	MKK3-6-p	NFKB-p65-p	Notch-1	Notch-1-cleaved	Notch-2	Notch-3	PLC-g1-p	PLC-g2-p	RNAPOLII	RSK-p	RSK-p90-p	Rb-p	RelA	RelA-p	Ribosomal-S6-p	STAT1-p	STAT1-p_p91	STAT3-p	STAT5-p	Src	Src-p	TGM1	cFos-p	cJun-p	cMyc	mTOR-p	p63	smad1	smad1-5-9-p	smad1-5-p	smad2-3	smad3	cluster
0	0	plate_1_154	X	0.0022601081496931	0.0030165054100511	0.0031722252797442	0.0139739062340335	0.0069190289172913	0.0052903043378152	0.0022528995664192	0.0022568528078251	0.0133312962316257	0.0071153845700969	0.0019905736543651	0.0037492573200052	0.0036293867563202	0.0027576535977909	0.0044131728802247	0.0031596671096859	0.0027387324939506	0.078750836873808	0.0044129177050713	0.0034753291272536	0.017916184133328	0.0083190889749128	0.0025395912522071	0.0083904142650595	0.0073289165759503	0.0555205947263659	0.2230532713610721	0.0049598745902506	0.0352687984961548	0.0070517860474774	0.0214970330239493	0.0018145050442307	0.0058609520366679	0.0081701833675231	0.0146124170004766	0.0063799907951696	0.0201642727353265	0.0031130127170815	0.0059985435722067	0.0023486944105045	0.2049093147765737	0.0018261182460217	0.0041209858672869	0.0028006384711207	0.001143743134625	0.0	0.0041728154800363	0.0026659549947543	0.0028725452635041	0.0066250496436196	0.0021514964566077	0.0019207988067916	0.0040366364531752	0.0023570017798448	0.0207587962195815	0.0028932054398089	0.0018047818202156	0.0216022878477058	0.0021016816079196	0.0024949733534689	0.0032667369103302	0.0030589694757668	0.0153580196165355	0.0020072849501571	0.0123535449594897	0.0024653088699834	0.0012403046418843	0.001929864295661	0.0016804926957791	0.0299074942880991	0
1	1	plate_1_155	X	0.003264739190188	0.0025070281195824	0.0028472707487594	0.0114597603697388	0.0069276467133887	0.0049249704885306	0.0021123575652332	0.0016856581631158	0.0133178224537915	0.0068695072203001	0.0022750707122375	0.0034418510004655	0.0031299101031776	0.0035686891588967	0.0035141617974557	0.0033885794713354	0.0016848698746208	0.0912852314896017	0.0025472339117725	0.0033424449298717	0.0042151343244994	0.0092002392269864	0.0022591044782006	0.0091666059375177	0.0069566644557848	0.0656513795023352	0.2450863365609603	0.0049341034215084	0.0254333092224591	0.005496103941483	0.0213317439960594	0.0018480763213346	0.0060655081456765	0.0071828660740355	0.0110104283958803	0.0055876838971724	0.0240771950093852	0.0026699384478975	0.0050929128327395	0.0019584531601535	0.1432738476299218	0.0016370200491789	0.0037678852591654	0.0022239404716317	0.0008547808690787719	0.0	0.004073801173941	0.0019870500930398	0.0032541547126902	0.0080085384559107	0.0015453156186932	0.0022172304916443	0.0049782454530134	0.0024315816784865	0.0162802508700755	0.0024886867289556	0.0016820866446575	0.0203620967787279	0.0022688766153286	0.0041984324155179	0.0034738242373585	0.0036401968326747	0.012321942761239	0.0015684875041493	0.0110906470184098	0.0028218225336054	0.0019132191901386	0.0020421820648977	0.0015963530785517	0.0425935577846535	0
2	2	plate_1_156	X	0.0037612432554011	0.003624854158384	0.0032105747259145	0.010225576126555	0.0068482805643129	0.0065173402530626	0.0021948789041499	0.0018567166282511	0.0154249297037877	0.0078534374027561	0.0027261540278752	0.0038467867885159	0.0033297489974199	0.0043179687258394	0.004585082520934	0.0040500641949335	0.0030668072214682	0.0805081063471079	0.0040911362709228	0.0030927470936726	0.0085282003866347	0.0086698517817214	0.0028524658298666	0.0062182496675085	0.0056709661514131	0.0351192420892933	0.2975016352453456	0.0050106089731231	0.0387373889809406	0.005209352030529	0.0211405818738797	0.00242478184767	0.0079575897369856	0.0076536983853962	0.0128685180731028	0.0050390785365185	0.0211312981609294	0.0030650229953796	0.0047804271484846	0.0029884843556104	0.1707182966607262	0.0025202264821915	0.0039034052250178	0.0011334258010513	0.0013035753166462	0.0	0.0044015511469512	0.0026840888207828	0.0022461458761644	0.005283403965926	0.0015506356377076	0.0021355289599121	0.0045719181283877	0.0027774720425751	0.0139661919943399	0.0033567684169718	0.0019492601133716	0.0230058708439467	0.0024815668913591	0.0032055948385748	0.0044720903673506	0.0045794330435671	0.0139340925312183	0.0028656611585962	0.0100713954047404	0.0034447065972522	0.0022182355310679	0.0025265615263343	0.0019096895797152	0.0254534170618276	0
3	3	plate_1_158	X	0.0024537137567991	0.0026558251596767	0.0033377387950029	0.0130381583009988	0.0068498011194012	0.0055714074878065	0.0021754937698804	0.0018640786342553	0.0146523534745225	0.0068406367868156	0.0023453422734764	0.0036385411963843	0.0033857740484941	0.0036847995356426	0.0040280536974455	0.0038494606428801	0.0033381598366044	0.0836997912707308	0.00364154615582	0.0033698312388674	0.0059947332521237	0.008646985853846	0.0030025560191896	0.007735155358399	0.0075734049113226	0.0754023927880613	0.3610051795312796	0.0042719115845602	0.0508784157666216	0.0060843760833468	0.0201771247558755	0.0018592106895221	0.0058765235221781	0.0094529696042497	0.0116892230513869	0.006673705667257	0.0243494789915281	0.0044547646171817	0.0053976422695197	0.0020144540082089	0.1340357532767937	0.0017787182890279	0.0036259311248916	0.0010049714824505	0.001195406426896	0.0	0.0037645609367153	0.0025408005693161	0.0022585092308628	0.0095085936900474	0.0010607546989775	0.00174589483678	0.0057949952311979	0.0035728147427194	0.017218871926148	0.002640547001353	0.0016758870673585	0.0215310670297068	0.0021871782351309	0.0028130399899847	0.004027501600942	0.003800164797303	0.0112463242324138	0.0019723223793066	0.0122590104972136	0.0033286156333499	0.0014602629290928	0.0024245743139334	0.0013708655618411	0.0310975765900534	0
4	4	plate_1_159	X	0.0027450123470044	0.0032818945191251	0.0035131746131493	0.0141163253012336	0.0080802452500343	0.0061185264485976	0.0018284565255741	0.0018916458969665	0.0132459292884685	0.0063063122618517	0.0024963812008153	0.0032741648819691	0.0041022901479636	0.0031221906710764	0.0046467631718561	0.0041028277184534	0.0030641472596998	0.080928224459371	0.0112381456207776	0.0024238238284639	0.0047186426006732	0.0086389388376191	0.0031760896141938	0.0072595207976108	0.0066876046213873	0.0743421963249977	0.3519721779500784	0.0038764125686804	0.0453393313704401	0.0071701220304483	0.0185162612962096	0.0020320272076352	0.0056388722468047	0.0062278273834276	0.0120616532166248	0.0061767615850547	0.0221190318491079	0.0031659924781164	0.005756507865231	0.0023674469294728	0.1395679474772562	0.0018692480315592	0.0036816997246946	0.002642630032156	0.0008052820704015757	0.0	0.0042361189325818	0.002528534094253	0.0031002332130815	0.0062141482455977	0.0014766270975512	0.0028512671439825	0.0045817840570573	0.0025701025937927	0.0242037966262874	0.0031406914011611	0.0016934751449985	0.0225332349413589	0.0019504630984776	0.0111770706209979	0.0034331359605305	0.003286183709331	0.0127233266254528	0.0019718543099465	0.0107078051251177	0.0026388136603819	0.0021385985063992	0.0022427446951713	0.0017443679251178	0.0356480019799825	0
5	5	plate_1_160	X	0.0023931439017544	0.0026349452203236	0.0039811065948995	0.0139471471238811	0.0066644730042445	0.0055308537924412	0.0024893945453911	0.0017241289478273	0.011412728004	0.005827590670835	0.0011877824257077	0.0028134638313535	0.0033096379445743	0.0040240301613107	0.0032462847981289	0.0043581924468266	0.002062247467987	0.093923506044076	0.0041845400504244	0.0042848833973457	0.0044076748783444	0.0064703489733927	0.0028163965432511	0.0061950240003563	0.0074055664546079	0.0912946904997271	0.3501593273222694	0.0040738044097691	0.0346879651743966	0.0061899171256693	0.0221589474857732	0.0012065358265661	0.0067027746516578	0.0079814765620785	0.0106938948629598	0.0076087739854146	0.0273635002174121	0.0025796242751637	0.0050493328499035	0.0023265455087084	0.1561615687274994	0.0019134684195336	0.0033141820280592	0.0015712576830897	0.0009099650944505386	0.0	0.0026659899380916	0.0027573428978868	0.0027106645523461	0.0066076281724145	0.0013547534493645	0.0014707060627316	0.0050463963737541	0.0026425387390333	0.0160207259641222	0.0029610817852383	0.0017060416508793	0.0212215513272167	0.0021211805550524	0.0030633554520987	0.0035180201518775	0.0033525735211798	0.0116491077525869	0.0024527088747436	0.0114500700538365	0.0027710009852079	0.0013834095989469	0.0020911139169661	0.0013607271379998	0.0283397396485284	0
6	6	plate_1_162		0.0039073835689827	0.0034482164805526	0.0033519113486358	0.0131494133756164	0.004641882831412	0.0044484168653295	0.0029905233928968	0.0022261748999081	0.0109009763887867	0.0048224871211602	0.0025878850305564	0.0032702793895633	0.0031736218650195	0.002558060147933	0.0060405473039322	0.0026350943045435	0.0028013191516971	0.0406840050819087	0.0046527063990402	0.0027642239980921	0.0043540753647963	0.0071513877508688	0.002817103928386	0.0063872594145586	0.0046534211793211	0.0410392404042188	0.4832948395708832	0.004048141795792	0.0179936536439336	0.005814448898702	0.0398610073480137	0.0018145018515386	0.0063502753141934	0.0111090737502089	0.0105913965372407	0.0063393576004233	0.0135885935100325	0.002809790198324	0.0070323310723806	0.0031756457600543	0.1015657731168402	0.001692226870996	0.0043286500288007	0.0019566825677567	0.0014817772303641	0.0	0.0041736371055419	0.0021287398582562	0.002270665460305	0.004585630206215	0.0018171868135264	0.002968894238177	0.0056733379719875	0.003112864194741	0.0201701486271579	0.00302874645123	0.0017469538305661	0.0204780875259476	0.0025292494312804	0.0022135108639305	0.0043492347022904	0.0031719192543871	0.0106319090756839	0.0023587893881417	0.0150159473033596	0.0033306028153915	0.0014463159743107	0.0023775361264613	0.0013070124459499	0.0228882673229931	1
7	7	plate_1_165		0.0040079081155842	0.0034170217760867	0.0034911638455491	0.0132821954913192	0.0051903245605044	0.0043821642094171	0.002424753042121	0.0015738012173781	0.0125437490021225	0.0053411550829558	0.0019627189013097	0.002562980200034	0.0037229741308481	0.0026531072622692	0.008154843426314	0.0027655995066293	0.0026880465190136	0.0598186158865929	0.0044362742336046	0.0039641840050432	0.0045140923139264	0.0069789540798228	0.0033250654058314	0.00681368121614	0.0044477506303007	0.0456815620683232	0.5164993646545947	0.0041556062038207	0.0185124324416357	0.0062892564821587	0.0332577872322079	0.0017874875463709	0.0058609400631752	0.0092878802049054	0.0104201081430391	0.0054843348512546	0.015867280228958	0.0027979111569852	0.0068496876773452	0.0031406293006006	0.1031568253160383	0.0017712833168322	0.0040440196580019	0.0015470795592023	0.0014784522357371	0.0	0.0040234439559467	0.0024156607827439	0.0020320615455555	0.0056492904264975	0.0013385301949376	0.002008062758257	0.0042010546238003	0.0023970660905648	0.0225867635298854	0.0024685086647844	0.0016264929562748	0.0240949244558788	0.0021350851988002	0.0023038256865426	0.0037017314275351	0.0030074462456342	0.0128488406903126	0.0021539327517996	0.0122414140319892	0.0030112731374564	0.0013708192632099	0.0021962170445373	0.0015253350287713	0.0265803389437725	1
8	8	plate_1_168	X	0.0031870522543973	0.0028390751922494	0.0034972475248504	0.0137735945430111	0.0075463840345693	0.0047089494265289	0.002054838366877	0.0022393649644909	0.0130690595786673	0.0063077743532163	0.0018518366519588	0.0032816204601938	0.0037182930102381	0.0035345480303362	0.0046739085686836	0.0036271759026396	0.0025674134163016	0.0779303301150815	0.0034934086578209	0.0039852806810442	0.0126772422783877	0.0084268069894662	0.0035412569894734	0.0059747964654095	0.0068737091498186	0.0714981653011182	0.2646906124912988	0.0043808492569612	0.0547531822324027	0.0057056629338081	0.0227995626856022	0.0017964428105758	0.0061225333022505	0.0085422114793167	0.0093584449470565	0.0081155017971093	0.0215305465800205	0.0035729583857238	0.0050452716523579	0.0021925015814784	0.1291330213432674	0.0015271676823449	0.0045137410109643	0.0011321258938596	0.0010038573515775	0.0	0.0041401693713648	0.0024385188918044	0.0025648507781602	0.0063940711486028	0.0014082368298033	0.0016000364640186	0.0047626153900197	0.0021641741266171	0.018019016805037	0.0027922520422456	0.0013523032257416	0.0231517037966934	0.0022348178270651	0.0058431510941719	0.0032666728769014	0.0037308897785042	0.0116090753738422	0.0020715074733757	0.0137827494268154	0.0028970604325738	0.0013722920803884	0.0019536704325222	0.0019523339006164	0.0358730346294684	5
9	9	plate_1_169		0.0040646698575174	0.0044226289260199	0.0042291096846467	0.0130456413216519	0.0053807612849209	0.0042879885786235	0.0032464113716772	0.001787003434186	0.0108045841238265	0.005458632104864	0.0021008687875423	0.0029382780841801	0.0037913793018306	0.0032610782405797	0.0040103327114024	0.0025012111125752	0.0028328797961084	0.06396164253724	0.0051539164837697	0.0041529553063076	0.0038446458066037	0.0083826029080399	0.0032993166442739	0.0074689789944474	0.0060458114192297	0.0325593008604944	0.3039423549243975	0.0046186642772597	0.0188584697641132	0.0067518873506829	0.0519868310401542	0.0015798825925035	0.0070974173268209	0.0103717329744186	0.0109993253923724	0.0066674391487945	0.0179773913144752	0.003351191323176	0.0060506138863736	0.0031053876675837	0.0311500027993157	0.001856892948535	0.0039578452640846	0.0016953812399012	0.0014816092934724	0.0	0.0044879357344458	0.0027150736247386	0.0038828093699664	0.0071386285141941	0.0022169140351576	0.0031330874678498	0.0075962585529422	0.0023055261517991	0.0147676573529327	0.0050413953413632	0.0018280517440333	0.0183729173250947	0.0025897944582248	0.0019120184959526	0.0046235102279636	0.0039568130193415	0.0155144621273872	0.0025568765387476	0.0176632916707891	0.0033764192271363	0.0012813140229882	0.002025149871447	0.0014278285516733	0.0262990068731219	3
