NOISE	PERT	MISS	ETA	REPEAT	TPR	FPR	EDGES	RMSE
0.2	0.0	0.0	0.24297766204534152	1.0	0.8461538461538461	0.020618556701030927	13	0.0765829904962082
0.2	0.0	0.0	0.24686946424712425	2.0	0.8461538461538461	0.020618556701030927	13	0.07718089092044914
0.2	0.0	0.0	0.18653620362659762	3.0	0.8461538461538461	0.020618556701030927	13	0.07437281847750725
0.2	0.0	0.0	0.1878499681581984	4.0	0.8461538461538461	0.020618556701030927	13	0.07893787410511503
0.2	0.0	0.0	0.22022009297549724	5.0	0.8461538461538461	0.020618556701030927	13	0.07556121139306009
0.2	0.0	5.0	0.2288748963269925	1.0	0.6923076923076923	0.041237113402061855	13	0.13271415058748837
0.2	0.0	5.0	0.38241169142338693	2.0	0.6923076923076923	0.041237113402061855	13	0.13488652234920243
0.2	0.0	5.0	0.40869207272298735	3.0	0.7692307692307693	0.041237113402061855	14	0.09260373327485022
0.2	0.0	5.0	0.3373319174117597	4.0	0.7692307692307693	0.041237113402061855	14	0.12992082273872005
0.2	0.0	5.0	0.3620375720242427	5.0	0.6923076923076923	0.030927835051546393	12	0.14881343797508056
0.2	0.0	11.0	0.673967465651342	1.0	0.5384615384615384	0.08247422680412371	15	0.22779489545424939
0.2	0.0	11.0	0.6763599198744643	2.0	0.5384615384615384	0.07216494845360824	14	0.2292806192896037
0.2	0.0	11.0	0.6766315574178334	3.0	0.5384615384615384	0.08247422680412371	15	0.22757102488354292
0.2	0.0	11.0	0.6766322611593966	4.0	0.5384615384615384	0.07216494845360824	14	0.22917917813016309
0.2	0.0	11.0	0.6763560079584016	5.0	0.5384615384615384	0.07216494845360824	14	0.22765566251842242
0.2	4.0	0.0	0.5463481626391222	1.0	0.7692307692307693	0.020618556701030927	12	0.05995015624579186
0.2	4.0	0.0	0.5339101040302318	2.0	0.7692307692307693	0.020618556701030927	12	0.05521789708665079
0.2	4.0	0.0	0.5646337293199397	3.0	0.7692307692307693	0.020618556701030927	12	0.05485630171132238
0.2	4.0	0.0	0.5232614337105966	4.0	0.6923076923076923	0.020618556701030927	11	0.11461934045253488
0.2	4.0	0.0	0.5450951952743046	5.0	0.7692307692307693	0.020618556701030927	12	0.0379481675094984
0.2	4.0	5.0	0.8050742403864684	1.0	0.6923076923076923	0.05154639175257732	14	0.13902956505460956
0.2	4.0	5.0	0.7090222229284293	2.0	0.46153846153846156	0.061855670103092786	12	0.21657843926600745
0.2	4.0	5.0	0.7800421713178866	3.0	0.5384615384615384	0.05154639175257732	12	0.17185363108572257
