	Sos	Ras	Raf1	Mek	Erk	P90Rsk	PI3K	Akt	C3G	Rap1	bRaf
Sos	-1.0	0.4307890701915393	0.0	0.0	0.0	-0.537534540776767	0.0	0.0	0.0	0.0	0.0
Ras	0.7419977643683034	-1.0	0.24932397629342498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Raf1	0.3441369512357933	0.6648633752070305	-1.0	0.0	0.0	0.0	0.0	-0.35200205118108047	0.0	0.0	0.0
Mek	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10072027920804577
Erk	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
P90Rsk	0.0	0.0	0.0	0.0	0.256710237896938	-1.0	0.0	0.0	0.0	0.0	0.0
PI3K	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
Akt	0.0	0.0	0.0	0.0	0.0	0.0	0.3626530901119987	-1.0	0.0	0.0	0.0
C3G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.3121779621299676	0.0
Rap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9333392525281309	-1.0	0.0
bRaf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.472977788497328	-1.0
