	Sos	Ras	Raf1	Mek	Erk	P90Rsk	PI3K	Akt	C3G	Rap1	bRaf
Sos	-1.0	0.4939806330312699	0.0	0.0	0.0	-0.37273380267048195	0.0	0.0	0.0	0.0	0.0
Ras	0.5567514548919654	-1.0	0.3382659642837976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Raf1	0.3379299074920013	0.5098539206788061	-1.0	0.0	0.0	0.0	0.0	-0.2974375232455057	0.0	0.0	0.0
Mek	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.705896952812972
Erk	0.0	0.0	0.0	0.7297771817548657	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
P90Rsk	0.0	0.0	0.0	0.0	0.6642934318687964	-1.0	0.0	0.0	0.0	0.0	0.0
PI3K	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
Akt	0.0	0.0	0.0	0.0	0.0	0.0	0.3196016885867055	-1.0	0.0	0.0	0.0
C3G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
Rap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7910606029119218	-1.0	0.0
bRaf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5477910447450546	-1.0
