POPULATIONS	DIFFERENCE_RMSE	NOISE	CELLNUM	ETA	REPEAT	EDGES	MODELTYPE	POPULATIONS	NUMDIFFEDGES	THETA	RESIDUALS
wt_braf	0.02600357586243102	0.2	250	0.025	8	13	CNR	wt,braf	4	0.02	0.0010688590747152987
wt_braf	0.024572224632069158	0.2	250	0.026367187500000003	9	13	CNR	wt,braf	4	0.02	0.0010801980240163988
wt_braf	0.029725828376030067	0.2	250	0.034375	10	13	CNR	wt,braf	5	0.02	0.0010577395591605278
wt_braf	0.0186370978181898	0.2	250	0.03125	11	13	CNR	wt,braf	5	0.02	0.0012360655862389775
wt_braf	0.0189755650410513	0.2	250	0.034375	12	13	CNR	wt,braf	5	0.02	0.0011877309331614504
wt_braf	0.020341243015468975	0.2	250	0.025	13	13	CNR	wt,braf	5	0.02	0.0011235585228784766
wt_braf	0.025634727033669973	0.2	250	0.025	14	13	CNR	wt,braf	4	0.02	0.0010992142393507253
wt_braf	0.026454943837111354	0.2	250	0.025	15	13	CNR	wt,braf	4	0.02	0.0011233649165446151
wt_braf	0.03172859719598258	0.2	250	0.05	16	13	CNR	wt,braf	5	0.02	0.0012687403614039645
wt_braf	0.024716310883993356	0.2	250	0.025	17	13	CNR	wt,braf	4	0.02	0.0011301742787697376
wt_braf	0.029768147501120387	0.2	250	0.021875000000000002	18	13	CNR	wt,braf	4	0.02	0.0011205677517341869
wt_braf	0.025479003037706706	0.2	250	0.037500000000000006	19	13	CNR	wt,braf	4	0.02	0.0011062225003813046
wt_ras	0.03475067835456132	0.2	250	0.037500000000000006	0	13	CNR	wt,ras	3	0.02	0.0010471957237699395
wt_ras	0.03341101351790512	0.2	250	0.037500000000000006	1	13	CNR	wt,ras	3	0.02	0.0010707926694015042
wt_ras	0.03315959771340503	0.2	250	0.037500000000000006	2	13	CNR	wt,ras	3	0.02	0.001082917128992857
wt_ras	0.03304070020089948	0.2	250	0.037500000000000006	3	13	CNR	wt,ras	3	0.02	0.0009973181388439876
wt_ras	0.01658150340201457	0.2	250	0.034375	4	13	CNR	wt,ras	5	0.02	0.001016344077041776
wt_ras	0.03333344457630042	0.2	250	0.05	5	13	CNR	wt,ras	3	0.02	0.0010370553830737564
wt_ras	0.03710471925729979	0.2	250	0.05	6	13	CNR	wt,ras	2	0.02	0.0010541625267712457
wt_ras	0.017056134537581747	0.2	250	0.05	7	13	CNR	wt,ras	5	0.02	0.0010319683022086586
wt_ras	0.02565128937140333	0.2	250	0.05	8	13	CNR	wt,ras	4	0.02	0.0010673633714945853
wt_ras	0.032464864948889706	0.2	250	0.037500000000000006	9	13	CNR	wt,ras	3	0.02	0.0010368766375151172
wt_ras	0.03323810257831569	0.2	250	0.05	10	13	CNR	wt,ras	3	0.02	0.0010351358927296547
wt_ras	0.037137434209772294	0.2	250	0.05	11	13	CNR	wt,ras	2	0.02	0.0009839027882931485
wt_ras	0.017626041392474798	0.2	250	0.025	12	13	CNR	wt,ras	5	0.02	0.0009975484816158026
wt_ras	0.033314549781783685	0.2	250	0.037500000000000006	13	13	CNR	wt,ras	3	0.02	0.001072403191488623
wt_ras	0.034254529195671526	0.2	250	0.05	14	13	CNR	wt,ras	3	0.02	0.0010961447525723212
wt_ras	0.034767038864249145	0.2	250	0.037500000000000006	15	13	CNR	wt,ras	3	0.02	0.0010059938901465532
wt_ras	0.03295940059142523	0.2	250	0.05	16	13	CNR	wt,ras	3	0.02	0.0010115963582979222
wt_ras	0.03342838503860191	0.2	250	0.037500000000000006	17	13	CNR	wt,ras	3	0.02	0.0009853773113794701
wt_ras	0.0326578879620214	0.2	250	0.05	18	13	CNR	wt,ras	3	0.02	0.00097250701502855
wt_ras	0.03346242826798443	0.2	250	0.05	19	13	CNR	wt,ras	3	0.02	0.0009430061813396422
wt_braf	0.05705814296802986	0.5	250	0.15625	0	13	CNR	wt,braf	3	0.02	0.005904583773299741
wt_braf	0.039731255711695876	0.5	250	0.21250000000000002	1	13	CNR	wt,braf	5	0.02	0.005915372282928729
wt_braf	0.06864982893951109	0.5	250	0.184375	2	13	CNR	wt,braf	7	0.02	0.005603284587601494
wt_braf	0.06058243630188932	0.5	250	0.21250000000000002	3	13	CNR	wt,braf	4	0.02	0.005972301816637297
wt_braf	0.04882553658776621	0.5	250	0.21250000000000002	4	13	CNR	wt,braf	4	0.02	0.006088593761812191
wt_braf	0.0513581923867094	0.5	250	0.15625	5	13	CNR	wt,braf	4	0.02	0.005735728739804273
wt_braf	0.10122669399328638	0.5	250	0.21250000000000002	6	13	CNR	wt,braf	3	0.02	0.006305044339406933
wt_braf	0.10228492370313302	0.5	250	0.15625	7	13	CNR	wt,braf	4	0.02	0.005898603304174907
wt_braf	0.04889012362235693	0.5	250	0.21250000000000002	8	13	CNR	wt,braf	3	0.02	0.006339918639905289
wt_braf	0.1074561915069859	0.5	250	0.21250000000000002	9	13	CNR	wt,braf	6	0.02	0.006029666892479037
wt_braf	0.07095143146827208	0.5	250	0.19843750000000002	10	13	CNR	wt,braf	7	0.02	0.005899513769249111
wt_braf	0.055416212250143745	0.5	250	0.21250000000000002	11	13	CNR	wt,braf	6	0.02	0.006112554119944708
wt_braf	0.0538937664120937	0.5	250	0.184375	12	13	CNR	wt,braf	4	0.02	0.00572629499594479
wt_braf	0.04450535509167632	0.5	250	0.15625	13	13	CNR	wt,braf	5	0.02	0.006051215637681876
wt_braf	0.07197435389630791	0.5	250	0.184375	14	13	CNR	wt,braf	5	0.02	0.006268515457095981
wt_braf	0.042725627315477986	0.5	250	0.15625	15	13	CNR	wt,braf	6	0.02	0.0055346250469622245
wt_braf	0.04936006163059789	0.5	250	0.184375	16	13	CNR	wt,braf	4	0.02	0.005476292822442412
wt_braf	0.04769791898335156	0.5	250	0.15625	17	13	CNR	wt,braf	3	0.02	0.005930248881660268
wt_braf	0.04812657100484644	0.5	250	0.15625	18	13	CNR	wt,braf	3	0.02	0.00588127958155144
wt_braf	0.05016281076140815	0.5	250	0.19843750000000002	19	13	CNR	wt,braf	3	0.02	0.005799242418954012
wt_ras	0.12147479739357937	0.5	250	0.1650390625	0	13	CNR	wt,ras	3	0.02	0.0053376314973598085
wt_ras	0.03670658470838295	0.5	250	0.14921875	1	13	CNR	wt,ras	5	0.02	0.005315005455441038
wt_ras	0.0887684299578533	0.5	250	0.184375	2	13	CNR	wt,ras	2	0.02	0.0053641740450116986
wt_ras	0.0860395723301984	0.5	250	0.19843750000000002	3	13	CNR	wt,ras	4	0.02	0.005368015854832647
wt_ras	0.10292496180837674	0.5	250	0.19492187500000002	4	13	CNR	wt,ras	4	0.02	0.005469032694087682
wt_ras	0.09679933141753277	0.5	250	0.184375	5	13	CNR	wt,ras	2	0.02	0.005553199552169333
wt_ras	0.04198047232943973	0.5	250	0.1703125	6	13	CNR	wt,ras	4	0.02	0.005311897268188128
wt_ras	0.09015140023774731	0.5	250	0.184375	7	13	CNR	wt,ras	3	0.02	0.005364018878117753
wt_ras	0.048468358041133974	0.5	250	0.17734375000000002	8	13	CNR	wt,ras	5	0.02	0.005785113348760132
wt_ras	0.08095011057647965	0.5	250	0.184375	9	13	CNR	wt,ras	3	0.02	0.005927185168329103
wt_ras	0.08242862052803361	0.5	250	0.21250000000000002	10	13	CNR	wt,ras	3	0.02	0.00533341780057001
wt_ras	0.03711919525390517	0.5	250	0.184375	11	13	CNR	wt,ras	3	0.02	0.005025710016092588
wt_ras	0.09462824977539502	0.5	250	0.166796875	12	13	CNR	wt,ras	3	0.02	0.005403870723872228
wt_ras	0.08254633177318906	0.5	250	0.184375	13	13	CNR	wt,ras	3	0.02	0.005291566385215124
wt_ras	0.04081140494171101	0.5	250	0.21250000000000002	14	13	CNR	wt,ras	3	0.02	0.00512501680294632
wt_ras	0.04265173608311392	0.5	250	0.17734375000000002	15	13	CNR	wt,ras	2	0.02	0.005408705781150185
wt_ras	0.04851946402415927	0.5	250	0.184375	16	13	CNR	wt,ras	3	0.02	0.005562650899636243
wt_ras	0.09612605555629558	0.5	250	0.15625	17	13	CNR	wt,ras	3	0.02	0.004754735386016483
wt_ras	0.0820992357880265	0.5	250	0.17119140625	18	13	CNR	wt,ras	3	0.02	0.005607208090636279
wt_ras	0.03650761653014503	0.5	250	0.15625	19	13	CNR	wt,ras	3	0.02	0.00517643013491734
WT_BRAF	0.022247630869950717	0.0	250	0.00625	0	13	MRA	WT:wt_braf	0	NO_THETA	6.14997963409419e-05
WT_BRAF	0.043512256175944564	0.2	250	0.025	0	13	MRA	WT:wt_braf	0	NO_THETA	0.0010587681757732587
WT_BRAF	0.07610455975951819	0.5	250	0.1	0	13	MRA	WT:wt_braf	0	NO_THETA	0.005677367256630838
WT_BRAF	0.022137654252504975	0.0	250	0.00625	1	13	MRA	WT:wt_braf	0	NO_THETA	8.309401389973778e-05
WT_BRAF	0.037063294847364425	0.2	250	0.025	1	13	MRA	WT:wt_braf	0	NO_THETA	0.001049470000042184
WT_BRAF	0.07520033142388559	0.5	250	0.0921875	1	13	MRA	WT:wt_braf	0	NO_THETA	0.005849553492646809
WT_BRAF	0.021811886053153953	0.0	250	0.0125	2	13	MRA	WT:wt_braf	0	NO_THETA	7.116534524100306e-05
WT_BRAF	0.08137578125127926	0.2	250	0.025	2	13	MRA	WT:wt_braf	0	NO_THETA	0.0010447481637634523
WT_BRAF	0.11339549857834917	0.5	250	0.07500000000000001	2	13	MRA	WT:wt_braf	0	NO_THETA	0.005268856994604845
WT_BRAF	0.03259481936087	0.0	250	0.00625	3	13	MRA	WT:wt_braf	0	NO_THETA	0.00013006696899627127
WT_BRAF	0.07167520229511382	0.2	250	0.0125	3	13	MRA	WT:wt_braf	0	NO_THETA	0.0011551586002582377
WT_BRAF	0.0743159278494971	0.5	250	0.128125	3	13	MRA	WT:wt_braf	0	NO_THETA	0.005871825911129319
WT_BRAF	0.03860595756064775	0.0	250	0.0125	4	13	MRA	WT:wt_braf	0	NO_THETA	7.749588356490569e-05
WT_BRAF	0.05918450782912684	0.2	250	0.025	4	13	MRA	WT:wt_braf	0	NO_THETA	0.0011528508468829277
WT_BRAF	0.13350551198509802	0.5	250	0.13339843749999997	4	13	MRA	WT:wt_braf	0	NO_THETA	0.00554750266034375
WT_BRAF	0.015298596783780878	0.0	250	0.00625	5	13	MRA	WT:wt_braf	0	NO_THETA	8.322354618358379e-05
WT_BRAF	0.033018480338556505	0.2	250	0.03125	5	13	MRA	WT:wt_braf	0	NO_THETA	0.0010140712786877318
