PROTEIN_A	PROTEIN_B	RLOC_RECONSTRUCTED	TYPE	RLOC_TRUE	MIN	MAX
PI3K	Erk	0.0	ras	0.0	0.0	0.0
Akt	Erk	0.0	wt	0.0	0.0	0.0
Akt	Erk	0.0	ras	0.0	0.0	0.0
C3G	Erk	0.0	wt	0.0	0.0	0.0
C3G	Erk	0.0	ras	0.0	0.0	0.0
Rap1	Erk	0.0	wt	0.0	0.0	0.0
Rap1	Erk	0.0	ras	0.0	0.0	0.0
bRaf	Erk	0.0	wt	0.0	0.0	0.0
bRaf	Erk	0.0	ras	0.0	0.0	0.0
Sos	P90Rsk	-0.42681950282663184	wt	-0.8070518419426879	-0.50167823545256	-0.3805514586644688
Sos	P90Rsk	-0.42681950282663184	ras	-0.955423325456904	-0.50167823545256	-0.3805514586644688
Ras	P90Rsk	0.0	wt	0.0	0.0	0.0
Ras	P90Rsk	0.0	ras	0.0	0.0	0.0
Raf1	P90Rsk	0.0	wt	0.0	0.0	0.0
Raf1	P90Rsk	0.0	ras	0.0	0.0	0.0
Mek	P90Rsk	0.0	wt	0.0	0.0	0.0
Mek	P90Rsk	0.0	ras	0.0	0.0	0.0
Erk	P90Rsk	0.0	wt	0.0	0.0	0.0
Erk	P90Rsk	0.0	ras	0.0	0.0	0.0
P90Rsk	P90Rsk	-1.0	wt	-1.0	-1.0	-1.0
P90Rsk	P90Rsk	-1.0	ras	-1.0	-1.0	-1.0
PI3K	P90Rsk	0.0	wt	0.0	0.0	0.0
PI3K	P90Rsk	0.0	ras	0.0	0.0	0.0
Akt	P90Rsk	0.0	wt	0.0	0.0	0.0
Akt	P90Rsk	0.0	ras	0.0	0.0	0.0
C3G	P90Rsk	0.0	wt	0.0	0.0	0.0
C3G	P90Rsk	0.0	ras	0.0	0.0	0.0
Rap1	P90Rsk	0.0	wt	0.0	0.0	0.0
Rap1	P90Rsk	0.0	ras	0.0	0.0	0.0
bRaf	P90Rsk	0.0	wt	0.0	0.0	0.0
bRaf	P90Rsk	0.0	ras	0.0	0.0	0.0
Sos	PI3K	0.0	wt	0.0	0.0	0.0
Sos	PI3K	0.0	ras	0.0	0.0	0.0
Ras	PI3K	0.0	wt	0.0	0.0	0.0
Ras	PI3K	0.0	ras	0.0	0.0	0.0
Raf1	PI3K	0.0	wt	0.0	0.0	0.0
Raf1	PI3K	0.0	ras	0.0	0.0	0.0
Mek	PI3K	0.0	wt	0.0	0.0	0.0
Mek	PI3K	0.0	ras	0.0	0.0	0.0
Erk	PI3K	0.0	wt	0.0	0.0	0.0
Erk	PI3K	0.0	ras	0.0	0.0	0.0
P90Rsk	PI3K	0.0	wt	0.0	0.0	0.0
P90Rsk	PI3K	0.0	ras	0.0	0.0	0.0
PI3K	PI3K	-1.0	wt	-1.0	-1.0	-1.0
PI3K	PI3K	-1.0	ras	-1.0	-1.0	-1.0
Akt	PI3K	0.37575483057507125	wt	0.3960809335425629	0.3487366721042864	0.41793883855832076
Akt	PI3K	0.37575483057507125	ras	0.3950953420734062	0.3487366721042864	0.41793883855832076
C3G	PI3K	0.0	wt	0.0	0.0	0.0
C3G	PI3K	0.0	ras	0.0	0.0	0.0
Rap1	PI3K	0.0	wt	0.0	0.0	0.0
Rap1	PI3K	0.0	ras	0.0	0.0	0.0
bRaf	PI3K	0.0	wt	0.0	0.0	0.0
bRaf	PI3K	0.0	ras	0.0	0.0	0.0
Sos	Akt	0.0	wt	0.0	0.0	0.0
Sos	Akt	0.0	ras	0.0	0.0	0.0
Ras	Akt	0.0	wt	0.0	0.0	0.0
Ras	Akt	0.0	ras	0.0	0.0	0.0
Raf1	Akt	-0.38243590008597006	wt	-0.3987184142289482	-0.4184835614872886	-0.3526688677211612
Raf1	Akt	-0.38243590008597006	ras	-0.4237719035400041	-0.4184835614872886	-0.3526688677211612
Mek	Akt	0.0	wt	0.0	0.0	0.0
Mek	Akt	0.0	ras	0.0	0.0	0.0
Erk	Akt	0.0	wt	0.0	0.0	0.0
Erk	Akt	0.0	ras	0.0	0.0	0.0
P90Rsk	Akt	0.0	wt	0.0	0.0	0.0
P90Rsk	Akt	0.0	ras	0.0	0.0	0.0
PI3K	Akt	0.0	wt	0.0	0.0	0.0
PI3K	Akt	0.0	ras	0.0	0.0	0.0
Akt	Akt	-1.0	wt	-1.0	-1.0	-1.0
Akt	Akt	-1.0	ras	-1.0	-1.0	-1.0
C3G	Akt	0.0	wt	0.0	0.0	0.0
C3G	Akt	0.0	ras	0.0	0.0	0.0
Rap1	Akt	0.0	wt	0.0	0.0	0.0
Rap1	Akt	0.0	ras	0.0	0.0	0.0
bRaf	Akt	0.0	wt	0.0	0.0	0.0
bRaf	Akt	0.0	ras	0.0	0.0	0.0
Sos	C3G	0.0	wt	0.0	0.0	0.0
Sos	C3G	0.0	ras	0.0	0.0	0.0
Ras	C3G	0.0	wt	0.0	0.0	0.0
Ras	C3G	0.0	ras	0.0	0.0	0.0
Raf1	C3G	0.0	wt	0.0	0.0	0.0
Raf1	C3G	0.0	ras	0.0	0.0	0.0
Mek	C3G	0.0	wt	0.0	0.0	0.0
Mek	C3G	0.0	ras	0.0	0.0	0.0
Erk	C3G	0.0	wt	0.0	0.0	0.0
Erk	C3G	0.0	ras	0.0	0.0	0.0
P90Rsk	C3G	0.0	wt	0.0	0.0	0.0
P90Rsk	C3G	0.0	ras	0.0	0.0	0.0
PI3K	C3G	0.0	wt	0.0	0.0	0.0
PI3K	C3G	0.0	ras	0.0	0.0	0.0
Akt	C3G	0.0	wt	0.0	0.0	0.0
Akt	C3G	0.0	ras	0.0	0.0	0.0
C3G	C3G	-1.0	wt	-1.0	-1.0	-1.0
C3G	C3G	-1.0	ras	-1.0	-1.0	-1.0
Rap1	C3G	0.9587764324247272	wt	0.9993602219089815	0.9217675581590152	1.0049783757937467
Rap1	C3G	0.9587764324247272	ras	0.9993602219089815	0.9217675581590152	1.0049783757937467
bRaf	C3G	0.0	wt	0.0	0.0	0.0
bRaf	C3G	0.0	ras	0.0	0.0	0.0
Sos	Rap1	0.0	wt	0.0	0.0	0.0
Sos	Rap1	0.0	ras	0.0	0.0	0.0
Ras	Rap1	0.0	wt	0.0	0.0	0.0
Ras	Rap1	0.0	ras	0.0	0.0	0.0
Raf1	Rap1	0.0	wt	0.0	0.0	0.0
Raf1	Rap1	0.0	ras	0.0	0.0	0.0
Mek	Rap1	0.0	wt	0.0	0.0	0.0
Mek	Rap1	0.0	ras	0.0	0.0	0.0
Erk	Rap1	0.0	wt	0.0	0.0	0.0
Erk	Rap1	0.0	ras	0.0	0.0	0.0
P90Rsk	Rap1	0.0	wt	0.0	0.0	0.0
P90Rsk	Rap1	0.0	ras	0.0	0.0	0.0
PI3K	Rap1	0.0	wt	0.0	0.0	0.0
PI3K	Rap1	0.0	ras	0.0	0.0	0.0
Akt	Rap1	0.0	wt	0.0	0.0	0.0
Akt	Rap1	0.0	ras	0.0	0.0	0.0
C3G	Rap1	0.019337775503241512	wt	0.0	0.0	0.3867555100648302
C3G	Rap1	0.019337775503241512	ras	0.0	0.0	0.3867555100648302
Rap1	Rap1	-1.0	wt	-1.0	-1.0	-1.0
Rap1	Rap1	-1.0	ras	-1.0	-1.0	-1.0
bRaf	Rap1	0.8088055661109059	wt	0.8581777862370672	0.7738730272192509	0.8661850921183545
bRaf	Rap1	0.2035115719642826	ras	0.2053149259330428	0.16849939669296005	0.24449396108279184
Sos	bRaf	0.0	wt	0.0	0.0	0.0
Sos	bRaf	0.0	ras	0.0	0.0	0.0
Ras	bRaf	0.0	wt	0.0	0.0	0.0
Ras	bRaf	0.0	ras	0.0	0.0	0.0
Raf1	bRaf	0.0	wt	0.0	0.0	0.0
Raf1	bRaf	0.0	ras	0.0	0.0	0.0
Mek	bRaf	0.867374917676426	wt	0.9132208908673156	0.7537417736456488	0.9507674368543144
Mek	bRaf	0.8282195301783666	ras	0.6899515856369846	0.5998241061288094	0.9507674368543144
Erk	bRaf	0.0	wt	0.0	0.0	0.0
Erk	bRaf	0.0	ras	0.0	0.0	0.0
