PROTEIN_A	PROTEIN_B	RLOC_RECONSTRUCTED	TYPE	RLOC_TRUE	MIN	MAX
PI3K	Erk	0.0	wt	0.0	0.0	0.0
PI3K	Erk	0.0	braf	0.0	0.0	0.0
Akt	Erk	0.0	wt	0.0	0.0	0.0
Akt	Erk	0.0	braf	0.0	0.0	0.0
C3G	Erk	0.0	wt	0.0	0.0	0.0
C3G	Erk	0.0	braf	0.0	0.0	0.0
Rap1	Erk	0.0	wt	0.0	0.0	0.0
Rap1	Erk	0.0	braf	0.0	0.0	0.0
bRaf	Erk	0.0	wt	0.0	0.0	0.0
bRaf	Erk	0.0	braf	0.0	0.0	0.0
Sos	P90Rsk	-0.39308616920466355	wt	-0.8070518419426879	-0.5231256068468925	-0.28418423874999876
Sos	P90Rsk	-0.401557859659876	braf	-0.9845918436130646	-0.5231256068468925	-0.28418423874999876
Ras	P90Rsk	0.0	wt	0.0	0.0	0.0
Ras	P90Rsk	0.0	braf	0.0	0.0	0.0
Raf1	P90Rsk	0.0	wt	0.0	0.0	0.0
Raf1	P90Rsk	0.0	braf	0.0	0.0	0.0
Mek	P90Rsk	0.0	wt	0.0	0.0	0.0
Mek	P90Rsk	0.0	braf	0.0	0.0	0.0
Erk	P90Rsk	0.0	wt	0.0	0.0	0.0
Erk	P90Rsk	0.0	braf	0.0	0.0	0.0
P90Rsk	P90Rsk	-1.0	wt	-1.0	-1.0	-1.0
P90Rsk	P90Rsk	-1.0	braf	-1.0	-1.0	-1.0
PI3K	P90Rsk	0.0	wt	0.0	0.0	0.0
PI3K	P90Rsk	0.0	braf	0.0	0.0	0.0
Akt	P90Rsk	0.0	wt	0.0	0.0	0.0
Akt	P90Rsk	0.0	braf	0.0	0.0	0.0
C3G	P90Rsk	0.0	wt	0.0	0.0	0.0
C3G	P90Rsk	0.0	braf	0.0	0.0	0.0
Rap1	P90Rsk	0.0	wt	0.0	0.0	0.0
Rap1	P90Rsk	0.0	braf	0.0	0.0	0.0
bRaf	P90Rsk	0.0	wt	0.0	0.0	0.0
bRaf	P90Rsk	0.0	braf	0.0	0.0	0.0
Sos	PI3K	0.0	wt	0.0	0.0	0.0
Sos	PI3K	0.0	braf	0.0	0.0	0.0
Ras	PI3K	0.0	wt	0.0	0.0	0.0
Ras	PI3K	0.0	braf	0.0	0.0	0.0
Raf1	PI3K	0.0	wt	0.0	0.0	0.0
Raf1	PI3K	0.0	braf	0.0	0.0	0.0
Mek	PI3K	0.0	wt	0.0	0.0	0.0
Mek	PI3K	0.0	braf	0.0	0.0	0.0
Erk	PI3K	0.0	wt	0.0	0.0	0.0
Erk	PI3K	0.0	braf	0.0	0.0	0.0
P90Rsk	PI3K	0.0	wt	0.0	0.0	0.0
P90Rsk	PI3K	0.0	braf	0.0	0.0	0.0
PI3K	PI3K	-1.0	wt	-1.0	-1.0	-1.0
PI3K	PI3K	-1.0	braf	-1.0	-1.0	-1.0
Akt	PI3K	0.3694140324061209	wt	0.3960809335425629	0.3244180800979614	0.40739614289499293
Akt	PI3K	0.3694140324061209	braf	0.3961230327352263	0.3244180800979614	0.40739614289499293
C3G	PI3K	0.0	wt	0.0	0.0	0.0
C3G	PI3K	0.0	braf	0.0	0.0	0.0
Rap1	PI3K	0.0	wt	0.0	0.0	0.0
Rap1	PI3K	0.0	braf	0.0	0.0	0.0
bRaf	PI3K	0.0	wt	0.0	0.0	0.0
bRaf	PI3K	0.0	braf	0.0	0.0	0.0
Sos	Akt	0.0	wt	0.0	0.0	0.0
Sos	Akt	0.0	braf	0.0	0.0	0.0
Ras	Akt	0.0	wt	0.0	0.0	0.0
Ras	Akt	0.0	braf	0.0	0.0	0.0
Raf1	Akt	-0.38439953203633387	wt	-0.3987184142289482	-0.41889857540518943	-0.35313147323146893
Raf1	Akt	-0.38439953203633387	braf	-0.3976878989191982	-0.41889857540518943	-0.35313147323146893
Mek	Akt	0.0	wt	0.0	0.0	0.0
Mek	Akt	0.0	braf	0.0	0.0	0.0
Erk	Akt	0.0	wt	0.0	0.0	0.0
Erk	Akt	0.0	braf	0.0	0.0	0.0
P90Rsk	Akt	0.0	wt	0.0	0.0	0.0
P90Rsk	Akt	0.0	braf	0.0	0.0	0.0
PI3K	Akt	0.0	wt	0.0	0.0	0.0
PI3K	Akt	0.0	braf	0.0	0.0	0.0
Akt	Akt	-1.0	wt	-1.0	-1.0	-1.0
Akt	Akt	-1.0	braf	-1.0	-1.0	-1.0
C3G	Akt	0.0	wt	0.0	0.0	0.0
C3G	Akt	0.0	braf	0.0	0.0	0.0
Rap1	Akt	0.0	wt	0.0	0.0	0.0
Rap1	Akt	0.0	braf	0.0	0.0	0.0
bRaf	Akt	0.0	wt	0.0	0.0	0.0
bRaf	Akt	0.0	braf	0.0	0.0	0.0
Sos	C3G	0.0	wt	0.0	0.0	0.0
Sos	C3G	0.0	braf	0.0	0.0	0.0
Ras	C3G	0.0	wt	0.0	0.0	0.0
Ras	C3G	0.0	braf	0.0	0.0	0.0
Raf1	C3G	0.0	wt	0.0	0.0	0.0
Raf1	C3G	0.0	braf	0.0	0.0	0.0
Mek	C3G	0.0	wt	0.0	0.0	0.0
Mek	C3G	0.0	braf	0.0	0.0	0.0
Erk	C3G	0.0	wt	0.0	0.0	0.0
Erk	C3G	0.0	braf	0.0	0.0	0.0
P90Rsk	C3G	0.0	wt	0.0	0.0	0.0
P90Rsk	C3G	0.0	braf	0.0	0.0	0.0
PI3K	C3G	0.0	wt	0.0	0.0	0.0
PI3K	C3G	0.0	braf	0.0	0.0	0.0
Akt	C3G	0.0	wt	0.0	0.0	0.0
Akt	C3G	0.0	braf	0.0	0.0	0.0
C3G	C3G	-1.0	wt	-1.0	-1.0	-1.0
C3G	C3G	-1.0	braf	-1.0	-1.0	-1.0
Rap1	C3G	0.9607058870603152	wt	0.9993602219089815	0.9366777076794155	1.0237597231745366
Rap1	C3G	0.9607058870603152	braf	0.9993602219089815	0.9366777076794155	1.0237597231745366
bRaf	C3G	0.012680774405908313	wt	0.0	0.0	0.25361548811816625
bRaf	C3G	0.012680774405908313	braf	0.0	0.0	0.25361548811816625
Sos	Rap1	0.0	wt	0.0	0.0	0.0
Sos	Rap1	0.0	braf	0.0	0.0	0.0
Ras	Rap1	0.0	wt	0.0	0.0	0.0
Ras	Rap1	0.0	braf	0.0	0.0	0.0
Raf1	Rap1	0.0	wt	0.0	0.0	0.0
Raf1	Rap1	0.0	braf	0.0	0.0	0.0
Mek	Rap1	0.0	wt	0.0	0.0	0.0
Mek	Rap1	0.0	braf	0.0	0.0	0.0
Erk	Rap1	0.0	wt	0.0	0.0	0.0
Erk	Rap1	0.0	braf	0.0	0.0	0.0
P90Rsk	Rap1	0.0	wt	0.0	0.0	0.0
P90Rsk	Rap1	0.0	braf	0.0	0.0	0.0
PI3K	Rap1	0.0	wt	0.0	0.0	0.0
PI3K	Rap1	0.0	braf	0.0	0.0	0.0
Akt	Rap1	0.0	wt	0.0	0.0	0.0
Akt	Rap1	0.0	braf	0.0	0.0	0.0
C3G	Rap1	0.0327617174783222	wt	0.0	0.0	0.34747830658743795
C3G	Rap1	0.0327617174783222	braf	0.0	0.0	0.34747830658743795
Rap1	Rap1	-1.0	wt	-1.0	-1.0	-1.0
Rap1	Rap1	-1.0	braf	-1.0	-1.0	-1.0
bRaf	Rap1	0.7518561797770049	wt	0.8581777862370672	0.5201447217435003	0.8730707047501098
bRaf	Rap1	0.4479952306017604	braf	0.4770323083844716	0.2554346892725716	0.5181622909942634
Sos	bRaf	0.0	wt	0.0	0.0	0.0
Sos	bRaf	0.0	braf	0.0	0.0	0.0
Ras	bRaf	0.0	wt	0.0	0.0	0.0
Ras	bRaf	0.0	braf	0.0	0.0	0.0
Raf1	bRaf	0.0	wt	0.0	0.0	0.0
Raf1	bRaf	0.0	braf	0.0	0.0	0.0
Mek	bRaf	0.8475842839630255	wt	0.9132208908673156	0.7830792336168471	0.9043477691071874
Mek	bRaf	0.08802793207565066	braf	0.088446934489352	0.06710939406897425	0.10734046600876171
Erk	bRaf	0.0	wt	0.0	0.0	0.0
Erk	bRaf	0.0	braf	0.0	0.0	0.0
P90Rsk	bRaf	0.0	wt	0.0	0.0	0.0
P90Rsk	bRaf	0.0	braf	0.0	0.0	0.0
PI3K	bRaf	0.0	wt	0.0	0.0	0.0
PI3K	bRaf	0.0	braf	0.0	0.0	0.0
Akt	bRaf	0.0	wt	0.0	0.0	0.0
Akt	bRaf	0.0	braf	0.0	0.0	0.0
C3G	bRaf	0.0	wt	0.0	0.0	0.0
C3G	bRaf	0.0	braf	0.0	0.0	0.0
Rap1	bRaf	0.0	wt	0.0	0.0	0.0
Rap1	bRaf	0.0	braf	0.0	0.0	0.0
bRaf	bRaf	-1.0	wt	-1.0	-1.0	-1.0
bRaf	bRaf	-1.0	braf	-1.0	-1.0	-1.0
