POPULATIONS	rloc	value	NOISE	CELLNUM	ETA	REPEAT	EDGES	MODELTYPE	POPULATIONS	NUMDIFFEDGES	THETA	RESIDUALS
wt_braf	PI3K_Erk	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Akt_Erk	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	C3G_Erk	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Rap1_Erk	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	bRaf_Erk	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Sos_P90Rsk	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Ras_P90Rsk	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Raf1_P90Rsk	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Mek_P90Rsk	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Erk_P90Rsk	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	P90Rsk_P90Rsk	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	PI3K_P90Rsk	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Akt_P90Rsk	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	C3G_P90Rsk	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Rap1_P90Rsk	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
