SIMULATION: noise=0.0, cells=250, repeat=12, etas: 0.003 diff Edges: 5 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=12, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=12, etas: 0.0010.001 edges: 15
SIMULATION: noise=0.0, cells=250, repeat=12, etas: 0.025 diff Edges: 3 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=12, etas: 0.0060.006 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=12, etas: 0.0250.025 edges: 12
SIMULATION: noise=0.0, cells=250, repeat=13, etas: 0.003 diff Edges: 5 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=13, etas: 0.0060.006 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=13, etas: 0.0010.001 edges: 14
SIMULATION: noise=0.0, cells=250, repeat=13, etas: 0.025 diff Edges: 3 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=13, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=13, etas: 0.0250.025 edges: 12
SIMULATION: noise=0.0, cells=250, repeat=14, etas: 0.006 diff Edges: 5 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=14, etas: 0.0060.006 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=14, etas: 0.00.0 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=14, etas: 0.013 diff Edges: 3 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=14, etas: 0.0060.006 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=14, etas: 0.0250.025 edges: 12
SIMULATION: noise=0.0, cells=250, repeat=15, etas: 0.006 diff Edges: 5 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=15, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=15, etas: 0.00.0 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=15, etas: 0.013 diff Edges: 3 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=15, etas: 0.0060.006 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=15, etas: 0.0250.025 edges: 12
SIMULATION: noise=0.0, cells=250, repeat=16, etas: 0.003 diff Edges: 5 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=16, etas: 0.0060.006 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=16, etas: 0.0010.001 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=16, etas: 0.013 diff Edges: 3 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=16, etas: 0.0060.006 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=16, etas: 0.050.05 edges: 12
SIMULATION: noise=0.0, cells=250, repeat=17, etas: 0.003 diff Edges: 5 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=17, etas: 0.0060.006 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=17, etas: 0.0010.001 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=17, etas: 0.05 diff Edges: 3 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=17, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=17, etas: 0.050.05 edges: 12
SIMULATION: noise=0.0, cells=250, repeat=18, etas: 0.003 diff Edges: 5 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=18, etas: 0.0060.006 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=18, etas: 0.0020.002 edges: 11
SIMULATION: noise=0.0, cells=250, repeat=18, etas: 0.013 diff Edges: 3 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=18, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=18, etas: 0.050.05 edges: 12
SIMULATION: noise=0.0, cells=250, repeat=19, etas: 0.003 diff Edges: 5 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=19, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=19, etas: 0.00.0 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=19, etas: 0.025 diff Edges: 3 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=19, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.0, cells=250, repeat=19, etas: 0.0250.025 edges: 12
SIMULATION: noise=0.2, cells=250, repeat=0, etas: 0.05 diff Edges: 4 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=0, etas: 0.0250.025 edges: 13
