	Sos	Ras	Raf1	Mek	Erk	P90Rsk	PI3K	Akt	C3G	Rap1	bRaf
Sos	-1.0	0.4126173636451981	0.0	0.0	0.0	-0.4764986765753631	0.0	0.0	0.0	0.0	0.0
Ras	0.9394477078827143	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Raf1	0.3547914371262982	0.6459855915478429	-1.0	0.0	0.0	0.0	0.0	-0.3505477702899197	0.0	0.0	0.0
Mek	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8701694807092561
Erk	0.0	0.0	0.0	0.9043002088801632	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
P90Rsk	0.0	0.0	0.0	0.0	0.9232412640335109	-1.0	0.0	0.0	0.0	0.0	0.0
PI3K	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
Akt	0.0	0.0	0.0	0.0	0.0	0.0	0.3727531421384648	-1.0	0.0	0.0	0.0
C3G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
Rap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9430140046827651	-1.0	0.0
bRaf	0.0	0.16578706512079067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8049836750739656	-1.0
