	Sos	Ras	Raf1	Mek	Erk	P90Rsk	PI3K	Akt	C3G	Rap1	bRaf
Sos	-1.0	0.4833750218768282	0.0	0.0	0.0	-0.39171172215362016	0.0	0.0	0.0	0.0	0.0
Ras	0.9515706353093726	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Raf1	0.40838761529962847	0.5820439995669767	-1.0	0.0	0.0	0.0	0.0	-0.3868504964757902	0.0	0.0	0.0
Mek	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82119720257209
Erk	0.0	0.0	0.0	0.9935948185005736	-1.0	0.0	0.0	0.0	0.0	0.0	0.0
P90Rsk	0.0	0.0	0.0	0.0	0.8996079271702087	-1.0	0.0	0.0	0.0	0.0	0.0
PI3K	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0
Akt	0.0	0.0	0.0	0.0	0.0	0.0	0.3899515885292709	-1.0	0.0	0.0	0.0
C3G	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0
Rap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9966230182238339	-1.0	0.0
bRaf	0.0	0.13675591669433831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8154372667965765	-1.0
