NOISE	PERT	MISS	ETA	REPEAT	CELLNUM	MISSNAMES	PERTNAMES	EDGENUM	TPR	FPR	EDGES	RMSE	PRECISION	RECALL
0.2	9	11	0.43750000000000006	6	1000	,Erk,Ras,C3G,Raf1,PI3K,Akt,Mek,Rap1,Sos,P90Rsk,bRaf	,P90Rsk,Rap1,Sos,Raf1,Akt,PI3K,C3G,bRaf,Erk	13	0.6923076923076923	0.041237113402061855	13	0.13990755112824083	0.6923076923076923	0.6923076923076923
0.2	3	11	0.43750000000000006	7	1000	,bRaf,Rap1,Ras,PI3K,P90Rsk,Erk,Raf1,Akt,Sos,C3G,Mek	,Rap1,Akt,PI3K	13	0.5384615384615384	0.061855670103092786	13	0.19316626710021392	0.5384615384615384	0.5384615384615384
0.2	6	11	0.3812500000000001	7	1000	,bRaf,Rap1,Ras,PI3K,P90Rsk,Erk,Raf1,Akt,Sos,C3G,Mek	,Rap1,Akt,PI3K,Sos,Raf1,P90Rsk	13	0.6153846153846154	0.05154639175257732	13	0.16867786494428394	0.6153846153846154	0.6153846153846154
0.2	9	11	0.3671875000000001	7	1000	,bRaf,Rap1,Ras,PI3K,P90Rsk,Erk,Raf1,Akt,Sos,C3G,Mek	,Rap1,Akt,PI3K,Sos,Raf1,P90Rsk,bRaf,Ras,Mek	13	0.6923076923076923	0.041237113402061855	18	0.15000968988816346	0.6923076923076923	0.6923076923076923
0.2	3	11	0.32500000000000007	8	1000	,Erk,C3G,Akt,Ras,Raf1,bRaf,P90Rsk,Sos,Rap1,PI3K,Mek	,Sos,P90Rsk,Akt	13	0.6153846153846154	0.05154639175257732	13	0.18236521522620114	0.6153846153846154	0.6153846153846154
0.2	6	11	0.47968750000000004	8	1000	,Erk,C3G,Akt,Ras,Raf1,bRaf,P90Rsk,Sos,Rap1,PI3K,Mek	,Sos,P90Rsk,Akt,Mek,Erk,Ras	13	0.7692307692307693	0.030927835051546393	15	0.11045036614639704	0.7692307692307693	0.7692307692307693
0.2	9	11	0.43750000000000006	8	1000	,Erk,C3G,Akt,Ras,Raf1,bRaf,P90Rsk,Sos,Rap1,PI3K,Mek	,Sos,P90Rsk,Akt,Mek,Erk,Ras,Raf1,PI3K,C3G	13	0.7692307692307693	0.030927835051546393	16	0.12070640862425025	0.7692307692307693	0.7692307692307693
0.2	3	11	0.3812500000000001	9	1000	,Ras,C3G,bRaf,Raf1,Erk,Rap1,P90Rsk,Akt,Sos,PI3K,Mek	,Raf1,C3G,Sos	13	0.6153846153846154	0.05154639175257732	13	0.18473627781989527	0.6153846153846154	0.6153846153846154
0.2	6	11	0.4234375	9	1000	,Ras,C3G,bRaf,Raf1,Erk,Rap1,P90Rsk,Akt,Sos,PI3K,Mek	,Raf1,C3G,Sos,Rap1,Ras,Mek	13	0.6153846153846154	0.05154639175257732	18	0.1513144811732306	0.6153846153846154	0.6153846153846154
0.2	9	11	0.43750000000000006	9	1000	,Ras,C3G,bRaf,Raf1,Erk,Rap1,P90Rsk,Akt,Sos,PI3K,Mek	,Raf1,C3G,Sos,Rap1,Ras,Mek,P90Rsk,Erk,Akt	13	0.7692307692307693	0.030927835051546393	18	0.0958654419995336	0.7692307692307693	0.7692307692307693
0.2	3	11	0.3812500000000001	10	1000	,Akt,Ras,Rap1,Mek,Erk,Raf1,P90Rsk,C3G,Sos,PI3K,bRaf	,Raf1,Ras,bRaf	13	0.6153846153846154	0.05154639175257732	15	0.16481639246169202	0.6153846153846154	0.6153846153846154
0.2	6	11	0.43750000000000006	10	1000	,Akt,Ras,Rap1,Mek,Erk,Raf1,P90Rsk,C3G,Sos,PI3K,bRaf	,Raf1,Ras,bRaf,Erk,Sos,P90Rsk	13	0.6923076923076923	0.041237113402061855	14	0.12791469661560437	0.6923076923076923	0.6923076923076923
0.2	9	11	0.40937500000000004	10	1000	,Akt,Ras,Rap1,Mek,Erk,Raf1,P90Rsk,C3G,Sos,PI3K,bRaf	,Raf1,Ras,bRaf,Erk,Sos,P90Rsk,Rap1,Akt,PI3K	13	0.6923076923076923	0.041237113402061855	16	0.1316629279440729	0.6923076923076923	0.6923076923076923
0.2	3	11	0.3812500000000001	11	1000	,Akt,Erk,bRaf,PI3K,C3G,Raf1,P90Rsk,Sos,Ras,Mek,Rap1	,Mek,Erk,Sos	13	0.6923076923076923	0.041237113402061855	13	0.15286931003606505	0.6923076923076923	0.6923076923076923
0.2	6	11	0.40937500000000004	11	1000	,Akt,Erk,bRaf,PI3K,C3G,Raf1,P90Rsk,Sos,Ras,Mek,Rap1	,Mek,Erk,Sos,Akt,P90Rsk,C3G	13	0.6923076923076923	0.041237113402061855	15	0.14811303911883872	0.6923076923076923	0.6923076923076923
0.2	9	11	0.40234375000000006	11	1000	,Akt,Erk,bRaf,PI3K,C3G,Raf1,P90Rsk,Sos,Ras,Mek,Rap1	,Mek,Erk,Sos,Akt,P90Rsk,C3G,Raf1,bRaf,Ras	13	0.6923076923076923	0.041237113402061855	16	0.12946580134554792	0.6923076923076923	0.6923076923076923
0.2	3	11	0.3812500000000001	12	1000	,Raf1,Rap1,P90Rsk,PI3K,Sos,Erk,Akt,Ras,bRaf,Mek,C3G	,Erk,PI3K,Raf1	13	0.6923076923076923	0.041237113402061855	14	0.15500790021296076	0.6923076923076923	0.6923076923076923
0.2	6	11	0.3812500000000001	12	1000	,Raf1,Rap1,P90Rsk,PI3K,Sos,Erk,Akt,Ras,bRaf,Mek,C3G	,Erk,PI3K,Raf1,Mek,Sos,Ras	13	0.6153846153846154	0.05154639175257732	13	0.14950556768120735	0.6153846153846154	0.6153846153846154
0.2	9	11	0.43750000000000006	12	1000	,Raf1,Rap1,P90Rsk,PI3K,Sos,Erk,Akt,Ras,bRaf,Mek,C3G	,Erk,PI3K,Raf1,Mek,Sos,Ras,P90Rsk,Akt,Rap1	13	0.6923076923076923	0.041237113402061855	15	0.13203366606614791	0.6923076923076923	0.6923076923076923
0.2	3	11	0.40937500000000004	13	1000	,PI3K,Raf1,Akt,Rap1,Mek,C3G,bRaf,Ras,Sos,P90Rsk,Erk	,bRaf,Rap1,PI3K	13	0.5384615384615384	0.061855670103092786	13	0.19189691137188794	0.5384615384615384	0.5384615384615384
0.2	6	11	0.43750000000000006	13	1000	,PI3K,Raf1,Akt,Rap1,Mek,C3G,bRaf,Ras,Sos,P90Rsk,Erk	,bRaf,Rap1,PI3K,Akt,Mek,Erk	13	0.6153846153846154	0.05154639175257732	17	0.14738431712384664	0.6153846153846154	0.6153846153846154
0.2	9	11	0.40937500000000004	13	1000	,PI3K,Raf1,Akt,Rap1,Mek,C3G,bRaf,Ras,Sos,P90Rsk,Erk	,bRaf,Rap1,PI3K,Akt,Mek,Erk,P90Rsk,Raf1,C3G	13	0.6923076923076923	0.041237113402061855	16	0.1372910036819839	0.6923076923076923	0.6923076923076923
0.2	3	11	0.40937500000000004	14	1000	,Rap1,PI3K,Raf1,Ras,Erk,Mek,bRaf,Sos,C3G,P90Rsk,Akt	,Erk,Sos,P90Rsk	13	0.6153846153846154	0.05154639175257732	15	0.16787285702544794	0.6153846153846154	0.6153846153846154
0.2	6	11	0.41640625000000003	14	1000	,Rap1,PI3K,Raf1,Ras,Erk,Mek,bRaf,Sos,C3G,P90Rsk,Akt	,Erk,Sos,P90Rsk,C3G,Akt,Mek	13	0.6153846153846154	0.05154639175257732	13	0.17361717760574769	0.6153846153846154	0.6153846153846154
0.2	9	11	0.43925781250000007	14	1000	,Rap1,PI3K,Raf1,Ras,Erk,Mek,bRaf,Sos,C3G,P90Rsk,Akt	,Erk,Sos,P90Rsk,C3G,Akt,Mek,PI3K,Rap1,Ras	13	0.7692307692307693	0.030927835051546393	18	0.10677758377129189	0.7692307692307693	0.7692307692307693
0.2	3	11	0.32500000000000007	15	1000	,Akt,Sos,PI3K,Erk,Raf1,bRaf,Rap1,C3G,P90Rsk,Ras,Mek	,C3G,Sos,Raf1	13	0.6153846153846154	0.05154639175257732	13	0.18633339907310248	0.6153846153846154	0.6153846153846154
0.2	6	11	0.39531250000000007	15	1000	,Akt,Sos,PI3K,Erk,Raf1,bRaf,Rap1,C3G,P90Rsk,Ras,Mek	,C3G,Sos,Raf1,P90Rsk,Ras,Mek	13	0.6923076923076923	0.041237113402061855	13	0.1525510799897239	0.6923076923076923	0.6923076923076923
0.2	9	11	0.3944335937500001	15	1000	,Akt,Sos,PI3K,Erk,Raf1,bRaf,Rap1,C3G,P90Rsk,Ras,Mek	,C3G,Sos,Raf1,P90Rsk,Ras,Mek,bRaf,Rap1,PI3K	13	0.6923076923076923	0.041237113402061855	13	0.1519194048671582	0.6923076923076923	0.6923076923076923
0.2	3	11	0.40937500000000004	16	1000	,Erk,bRaf,PI3K,Ras,Mek,Rap1,Akt,C3G,Sos,P90Rsk,Raf1	,Akt,Erk,Mek	13	0.6153846153846154	0.05154639175257732	14	0.1735426695343841	0.6153846153846154	0.6153846153846154
0.2	6	11	0.43750000000000006	16	1000	,Erk,bRaf,PI3K,Ras,Mek,Rap1,Akt,C3G,Sos,P90Rsk,Raf1	,Akt,Erk,Mek,Ras,bRaf,C3G	13	0.6923076923076923	0.041237113402061855	20	0.12345504210290306	0.6923076923076923	0.6923076923076923
0.2	9	11	0.43046875000000007	16	1000	,Erk,bRaf,PI3K,Ras,Mek,Rap1,Akt,C3G,Sos,P90Rsk,Raf1	,Akt,Erk,Mek,Ras,bRaf,C3G,Raf1,P90Rsk,Sos	13	0.6923076923076923	0.041237113402061855	15	0.12624179350797138	0.6923076923076923	0.6923076923076923
0.2	3	11	0.41640625000000003	17	1000	,Akt,Sos,Ras,P90Rsk,C3G,Mek,Erk,PI3K,bRaf,Raf1,Rap1	,Sos,bRaf,Raf1	13	0.6153846153846154	0.05154639175257732	13	0.18639850874270097	0.6153846153846154	0.6153846153846154
0.2	6	11	0.36015625000000007	17	1000	,Akt,Sos,Ras,P90Rsk,C3G,Mek,Erk,PI3K,bRaf,Raf1,Rap1	,Sos,bRaf,Raf1,P90Rsk,C3G,Rap1	13	0.6153846153846154	0.05154639175257732	13	0.1739092047290296	0.6153846153846154	0.6153846153846154
0.2	9	11	0.3812500000000001	17	1000	,Akt,Sos,Ras,P90Rsk,C3G,Mek,Erk,PI3K,bRaf,Raf1,Rap1	,Sos,bRaf,Raf1,P90Rsk,C3G,Rap1,Akt,Ras,PI3K	13	0.6923076923076923	0.041237113402061855	13	0.15084190170376308	0.6923076923076923	0.6923076923076923
0.2	3	11	0.4515625000000001	18	1000	,P90Rsk,Ras,C3G,Mek,Sos,Akt,PI3K,Rap1,Raf1,Erk,bRaf	,Mek,bRaf,Ras	13	0.6923076923076923	0.041237113402061855	15	0.152580194994566	0.6923076923076923	0.6923076923076923
0.2	6	11	0.4518918970599772	18	1000	,P90Rsk,Ras,C3G,Mek,Sos,Akt,PI3K,Rap1,Raf1,Erk,bRaf	,Mek,bRaf,Ras,Rap1,PI3K,C3G	12	0.6153846153846154	0.041237113402061855	16	0.1500851077219462	0.6666666666666666	0.6153846153846154
0.2	9	11	0.43618164062500003	18	1000	,P90Rsk,Ras,C3G,Mek,Sos,Akt,PI3K,Rap1,Raf1,Erk,bRaf	,Mek,bRaf,Ras,Rap1,PI3K,C3G,Erk,Raf1,Sos	13	0.6923076923076923	0.041237113402061855	17	0.1252818042374241	0.6923076923076923	0.6923076923076923
0.2	3	11	0.43013173211365946	19	1000	,P90Rsk,C3G,Sos,Akt,Ras,Raf1,Rap1,Erk,PI3K,Mek,bRaf	,Akt,Erk,Mek	12	0.6153846153846154	0.041237113402061855	14	0.16080981324830845	0.6666666666666666	0.6153846153846154
0.2	6	11	0.43750000000000006	19	1000	,P90Rsk,C3G,Sos,Akt,Ras,Raf1,Rap1,Erk,PI3K,Mek,bRaf	,Akt,Erk,Mek,bRaf,Sos,C3G	13	0.6923076923076923	0.041237113402061855	13	0.14943259381771895	0.6923076923076923	0.6923076923076923
0.2	9	11	0.4234375	19	1000	,P90Rsk,C3G,Sos,Akt,Ras,Raf1,Rap1,Erk,PI3K,Mek,bRaf	,Akt,Erk,Mek,bRaf,Sos,C3G,Ras,Raf1,PI3K	13	0.6923076923076923	0.041237113402061855	18	0.13661500651196606	0.6923076923076923	0.6923076923076923
0.2	0	0	0.1	0	1000			13	0.8461538461538461	0.020618556701030927	13	0.07764296537764699	0.8461538461538461	0.8461538461538461
0.2	0	3	0.05	0	1000	,Raf1,Sos,PI3K		13	0.7692307692307693	0.030927835051546393	13	0.12210094992815765	0.7692307692307693	0.7692307692307693
0.2	0	6	0.15625	0	1000	,Raf1,Sos,PI3K,Akt,bRaf,Mek		13	0.6153846153846154	0.05154639175257732	13	0.19802313667722887	0.6153846153846154	0.6153846153846154
0.2	0	11	0.437994384765625	0	1000	,Raf1,Sos,PI3K,Akt,bRaf,Mek,Ras,C3G,P90Rsk,Erk,Rap1		13	0.46153846153846156	0.07216494845360824	14	0.23237445544340996	0.46153846153846156	0.46153846153846156
0.2	0	0	0.1	1	1000			13	0.8461538461538461	0.020618556701030927	13	0.07671199700479059	0.8461538461538461	0.8461538461538461
0.2	0	3	0.1	1	1000	,bRaf,Erk,Mek		13	0.7692307692307693	0.030927835051546393	13	0.11033267426432318	0.7692307692307693	0.7692307692307693
0.2	0	6	0.21250000000000002	1	1000	,bRaf,Erk,Mek,C3G,Ras,P90Rsk		13	0.6923076923076923	0.041237113402061855	13	0.1533087496166533	0.6923076923076923	0.6923076923076923
0.2	0	11	0.43750000000000006	1	1000	,bRaf,Erk,Mek,C3G,Ras,P90Rsk,Rap1,Akt,PI3K,Raf1,Sos		13	0.5384615384615384	0.061855670103092786	15	0.22579719638375434	0.5384615384615384	0.5384615384615384
0.2	0	0	0.07500000000000001	2	1000			13	0.8461538461538461	0.020618556701030927	13	0.07097167538039759	0.8461538461538461	0.8461538461538461
0.2	0	3	0.06875	2	1000	,Sos,Ras,PI3K		13	0.7692307692307693	0.030927835051546393	13	0.12321371998725714	0.7692307692307693	0.7692307692307693
0.2	0	6	0.32500000000000007	2	1000	,Sos,Ras,PI3K,P90Rsk,Akt,C3G		13	0.6153846153846154	0.05154639175257732	15	0.19520270383396598	0.6153846153846154	0.6153846153846154
0.2	0	11	0.46562500000000007	2	1000	,Sos,Ras,PI3K,P90Rsk,Akt,C3G,bRaf,Rap1,Mek,Raf1,Erk		13	0.5384615384615384	0.061855670103092786	16	0.22737714094344383	0.5384615384615384	0.5384615384615384
0.2	0	0	0.1	3	1000			13	0.8461538461538461	0.020618556701030927	13	0.0706062799141982	0.8461538461538461	0.8461538461538461
0.2	0	3	0.128125	3	1000	,Erk,Sos,PI3K		13	0.6923076923076923	0.041237113402061855	13	0.12815189164123977	0.6923076923076923	0.6923076923076923
0.2	0	6	0.21250000000000002	3	1000	,Erk,Sos,PI3K,C3G,Ras,Mek		13	0.6153846153846154	0.05154639175257732	13	0.18418265911830864	0.6153846153846154	0.6153846153846154
