	sample_id	treatment	ab_count_tmm	ab_name
148	plate_4_219	vehicle	0.4592694395045834	ITGB1
149	plate_5_219	vehicle	0.4248939044168289	ITGB1
151	plate_1_212	vehicle	0.4549169312863089	ITGB1
152	plate_2_212	vehicle	0.4982126871333008	ITGB1
154	plate_2_238	AG1478	0.2764702549458601	ITGB1
155	plate_4_238	AG1478	0.3119752522432691	ITGB1
156	plate_5_238	vehicle	0.3560492453422689	ITGB1
157	plate_6_238	AG1478	0.3553031952827433	ITGB1
158	plate_2_232	AG1478	0.3241643780946747	ITGB1
159	plate_3_232	AG1478	0.2807095360749615	ITGB1
160	plate_5_232	AG1478	0.2564262551001803	ITGB1
161	plate_2_180	vehicle	0.5375185833475928	ITGB1
162	plate_3_180	AG1478	0.2993100147097903	ITGB1
163	plate_5_180	vehicle	0.591888070488618	ITGB1
164	plate_6_180	AG1478	0.350590508504861	ITGB1
165	plate_2_204	vehicle	0.4539903329155014	ITGB1
166	plate_3_204	vehicle	0.5014852842026528	ITGB1
167	plate_5_204	vehicle	0.4413558795592472	ITGB1
168	plate_6_204	AG1478	0.128602047490352	ITGB1
169	plate_2_210	AG1478	0.3504477952736153	ITGB1
170	plate_3_210	AG1478	0.2538968921268364	ITGB1
171	plate_4_210	vehicle	0.5568991540827982	ITGB1
172	plate_5_210	AG1478	0.2903921419324525	ITGB1
173	plate_6_210	vehicle	0.4591835736822025	ITGB1
175	plate_2_224	vehicle	0.4047386664842429	ITGB1
176	plate_6_224	vehicle	0.4980632852069168	ITGB1
177	plate_2_228	AG1478	0.3080850708024242	ITGB1
179	plate_5_228	vehicle	0.3120270233453083	ITGB1
180	plate_6_228	vehicle	0.438838574822147	ITGB1
181	plate_2_201	AG1478	0.2204301717276509	ITGB1
183	plate_5_201	AG1478	0.3815367788782602	ITGB1
184	plate_6_201	AG1478	0.3057247572408978	ITGB1
185	plate_1_211	AG1478	0.3069203415468726	ITGB1
187	plate_4_211	vehicle	0.4645603990540519	ITGB1
188	plate_2_220	AG1478	0.2454080307402751	ITGB1
189	plate_5_220	vehicle	0.5001869971641537	ITGB1
190	plate_6_220	AG1478	0.2665435244773643	ITGB1
191	plate_1_214	AG1478	0.228299609603704	ITGB1
192	plate_2_214	vehicle	0.4558452138635513	ITGB1
195	plate_4_202	vehicle	0.404913323507827	ITGB1
197	plate_3_218	AG1478	0.1989349693902456	ITGB1
198	plate_5_218	vehicle	0.3597045139952869	ITGB1
200	plate_1_244	vehicle	0.3954500975670489	ITGB1
201	plate_3_244	AG1478	0.2022123719175728	ITGB1
202	plate_4_244	vehicle	0.3656109683410481	ITGB1
204	plate_1_194	AG1478	0.3139630565399124	ITGB1
205	plate_2_194	AG1478	0.3757358227418514	ITGB1
206	plate_3_194	AG1478	0.318767630825868	ITGB1
207	plate_4_194	AG1478	0.3394599394555684	ITGB1
208	plate_5_194	AG1478	0.1013274654149551	ITGB1
209	plate_1_227	AG1478	0.2816755451172104	ITGB1
210	plate_3_227	vehicle	0.3421715681213482	ITGB1
211	plate_6_227	vehicle	0.519920194191288	ITGB1
212	plate_3_200	AG1478	0.1773510295172519	ITGB1
213	plate_4_200	vehicle	0.339677640530814	ITGB1
214	plate_5_200	AG1478	0.2705660076380226	ITGB1
216	plate_5_163	AG1478	0.3675397425813724	ITGB1
217	plate_3_217	AG1478	0.2722947581425705	ITGB1
218	plate_5_217	AG1478	0.3202077446193415	ITGB1
219	plate_6_217	vehicle	0.3922793066116465	ITGB1
220	plate_4_195	AG1478	0.3795531953767877	ITGB1
221	plate_6_195	vehicle	0.4566526648003794	ITGB1
222	plate_1_160	AG1478	0.3462163694173109	ITGB1
223	plate_4_160	AG1478	0.333030469707848	ITGB1
224	plate_5_160	vehicle	0.4520444098798013	ITGB1
225	plate_6_160	AG1478	0.266079604584429	ITGB1
228	plate_2_226	AG1478	0.3495993635231465	ITGB1
229	plate_4_226	vehicle	0.4364550624472267	ITGB1
230	plate_5_226	AG1478	0.3300770565353994	ITGB1
235	plate_1_162	vehicle	0.5277941146996888	ITGB1
236	plate_4_162	vehicle	0.5824591597465796	ITGB1
238	plate_2_152	vehicle	0.4775039132548498	ITGB1
243	plate_2_164	AG1478	0.3694265131775484	ITGB1
244	plate_3_164	vehicle	0.3891987792217636	ITGB1
245	plate_1_158	AG1478	0.3380590270464441	ITGB1
246	plate_4_158	AG1478	0.3231805111323439	ITGB1
247	plate_5_158	vehicle	0.3586397138975228	ITGB1
248	plate_2_225	vehicle	0.2915106162164152	ITGB1
249	plate_3_225	vehicle	0.3842286142099984	ITGB1
251	plate_1_215	vehicle	0.3826364099278604	ITGB1
252	plate_2_215	AG1478	0.3442415844724381	ITGB1
253	plate_4_215	AG1478	0.3014977712241256	ITGB1
254	plate_5_215	AG1478	0.2660278625320162	ITGB1
255	plate_6_215	vehicle	0.405692697066865	ITGB1
256	plate_1_196	vehicle	0.4015585325401276	ITGB1
257	plate_6_196	vehicle	0.4393104429298795	ITGB1
258	plate_3_207	AG1478	0.3402361551049374	ITGB1
259	plate_4_207	vehicle	0.5676625217099337	ITGB1
260	plate_6_207	AG1478	0.3665992937462601	ITGB1
262	plate_1_199	vehicle	0.5308117180595832	ITGB1
263	plate_3_199	vehicle	0.4176314444066605	ITGB1
265	plate_1_197	AG1478	0.1723532676918445	ITGB1
268	plate_3_229	AG1478	0.4105307974025156	ITGB1
269	plate_4_229	AG1478	0.3127611641301802	ITGB1
270	plate_6_229	vehicle	0.3916505275650898	ITGB1
271	plate_1_233	vehicle	0.4771781342996862	ITGB1
272	plate_3_233	AG1478	0.3414251562095318	ITGB1
273	plate_4_233	AG1478	0.3349464620046774	ITGB1
274	plate_5_233	AG1478	0.3330231513788126	ITGB1
276	plate_1_234	vehicle	0.3914219714858473	ITGB1
278	plate_3_234	AG1478	0.2441444422617056	ITGB1
279	plate_2_193	vehicle	0.468304068646102	ITGB1
280	plate_4_193	AG1478	0.2647077418091065	ITGB1
282	plate_1_171	vehicle	0.00336344888223	MAPK-p38-p2
283	plate_5_171	vehicle	0.0034874011593037	MAPK-p38-p2
284	plate_6_171	vehicle	0.0031890073325693	MAPK-p38-p2
285	plate_1_169	vehicle	0.0032575174188882	MAPK-p38-p2
288	plate_6_169	vehicle	0.0023505839952256	MAPK-p38-p2
289	plate_4_172	AG1478	0.0027628876397079	MAPK-p38-p2
290	plate_5_172	AG1478	0.0032530742270466	MAPK-p38-p2
292	plate_3_186	AG1478	0.0041781412714303	MAPK-p38-p2
293	plate_5_186	AG1478	0.0031428498980476	MAPK-p38-p2
294	plate_1_156	AG1478	0.0029350297184243	MAPK-p38-p2
295	plate_3_156	AG1478	0.0031612881327062	MAPK-p38-p2
297	plate_5_156	AG1478	0.0036476843384464	MAPK-p38-p2
299	plate_2_154	AG1478	0.0036411940898816	MAPK-p38-p2
300	plate_4_154	AG1478	0.0037805686288267	MAPK-p38-p2
301	plate_5_154	vehicle	0.002876978029112	MAPK-p38-p2
302	plate_1_155	AG1478	0.0027949176953913	MAPK-p38-p2
303	plate_2_155	vehicle	0.0036016708828565	MAPK-p38-p2
304	plate_6_155	AG1478	0.0033917981461329	MAPK-p38-p2
306	plate_3_174	AG1478	0.0032572027043033	MAPK-p38-p2
308	plate_1_183	AG1478	0.0036180908210845	MAPK-p38-p2
309	plate_2_183	AG1478	0.0031863782285396	MAPK-p38-p2
310	plate_5_183	AG1478	0.0027428522550862	MAPK-p38-p2
311	plate_6_183	AG1478	0.0028329940196827	MAPK-p38-p2
312	plate_2_151	AG1478	0.0033819753610504	MAPK-p38-p2
314	plate_6_151	AG1478	0.0035583156825713	MAPK-p38-p2
315	plate_1_190	vehicle	0.0034670540372108	MAPK-p38-p2
317	plate_4_190	AG1478	0.0034532768043094	MAPK-p38-p2
318	plate_1_173	AG1478	0.0034346553757461	MAPK-p38-p2
319	plate_2_173	vehicle	0.0027087127098549	MAPK-p38-p2
320	plate_3_173	vehicle	0.0036630333345788	MAPK-p38-p2
321	plate_5_173	vehicle	0.0022889924947626	MAPK-p38-p2
323	plate_1_187	AG1478	0.003428982603098	MAPK-p38-p2
324	plate_2_187	vehicle	0.0031628558964028	MAPK-p38-p2
325	plate_3_187	vehicle	0.0026833801847433	MAPK-p38-p2
326	plate_4_187	vehicle	0.0033850664282436	MAPK-p38-p2
327	plate_5_187	AG1478	0.0024644729965973	MAPK-p38-p2
328	plate_6_187	vehicle	0.0035939810647405	MAPK-p38-p2
329	plate_1_178	AG1478	0.0032538950198829	MAPK-p38-p2
330	plate_2_178	AG1478	0.0040309275839396	MAPK-p38-p2
331	plate_1_168	AG1478	0.003347522773884	MAPK-p38-p2
332	plate_4_168	vehicle	0.0040024200681089	MAPK-p38-p2
335	plate_3_185	vehicle	0.0034556505937864	MAPK-p38-p2
336	plate_4_185	AG1478	0.0034083390823595	MAPK-p38-p2
337	plate_5_185	AG1478	0.0033558905657963	MAPK-p38-p2
338	plate_5_157	vehicle	0.0036096947897213	MAPK-p38-p2
339	plate_4_181	vehicle	0.0030790778837954	MAPK-p38-p2
341	plate_1_177	AG1478	0.0027879707492414	MAPK-p38-p2
343	plate_2_166	AG1478	0.0034743813064932	MAPK-p38-p2
344	plate_3_166	vehicle	0.0028560214424997	MAPK-p38-p2
345	plate_2_167	AG1478	0.0030185771140148	MAPK-p38-p2
346	plate_3_167	AG1478	0.0034711593095375	MAPK-p38-p2
347	plate_4_167	AG1478	0.0025176626185738	MAPK-p38-p2
348	plate_6_167	AG1478	0.0031834280603208	MAPK-p38-p2
350	plate_2_192	vehicle	0.0033547992705167	MAPK-p38-p2
352	plate_4_192	AG1478	0.003176605484108	MAPK-p38-p2
353	plate_1_188	AG1478	0.0034906058307121	MAPK-p38-p2
354	plate_2_188	AG1478	0.0040752313404469	MAPK-p38-p2
356	plate_5_188	AG1478	0.0031436226017408	MAPK-p38-p2
357	plate_1_191	vehicle	0.0032525310888832	MAPK-p38-p2
358	plate_3_191	vehicle	0.0033358722380055	MAPK-p38-p2
360	plate_6_191	vehicle	0.0028810842517302	MAPK-p38-p2
362	plate_3_184	vehicle	0.0033860471373067	MAPK-p38-p2
363	plate_2_170	vehicle	0.0028550594025709	MAPK-p38-p2
364	plate_3_170	AG1478	0.0040719960690005	MAPK-p38-p2
365	plate_1_179	vehicle	0.0033077671001946	MAPK-p38-p2
366	plate_2_179	AG1478	0.0026228674678321	MAPK-p38-p2
367	plate_4_179	AG1478	0.0032994380449267	MAPK-p38-p2
369	plate_6_179	AG1478	0.0030236062584928	MAPK-p38-p2
370	plate_5_153	vehicle	0.0036175689294399	MAPK-p38-p2
372	plate_1_175	AG1478	0.0020040373076376	MAPK-p38-p2
373	plate_2_175	AG1478	0.0028289826983335	MAPK-p38-p2
374	plate_3_175	AG1478	0.0032041296033323	MAPK-p38-p2
376	plate_3_237	vehicle	0.0026395830970465	MAPK-p38-p2
378	plate_6_237	AG1478	0.0031294954913548	MAPK-p38-p2
379	plate_3_182	vehicle	0.002840583739614	MAPK-p38-p2
381	plate_1_222	AG1478	0.0022258337620528	MAPK-p38-p2
383	plate_4_222	AG1478	0.0036957333022439	MAPK-p38-p2
384	plate_5_222	vehicle	0.0037877356640828	MAPK-p38-p2
386	plate_1_213	vehicle	0.0030242612080267	MAPK-p38-p2
387	plate_3_213	vehicle	0.0032262845544492	MAPK-p38-p2
388	plate_5_213	AG1478	0.003049568705035	MAPK-p38-p2
390	plate_2_235	vehicle	0.0040446384118848	MAPK-p38-p2
397	plate_2_231	AG1478	0.0032633110272461	MAPK-p38-p2
398	plate_3_231	vehicle	0.0035733545643925	MAPK-p38-p2
399	plate_5_231	vehicle	0.0032212669561545	MAPK-p38-p2
400	plate_6_231	vehicle	0.0032517399778441	MAPK-p38-p2
401	plate_1_205	vehicle	0.0038698688262404	MAPK-p38-p2
402	plate_2_205	AG1478	0.003166403678489	MAPK-p38-p2
403	plate_6_205	vehicle	0.0033642793459732	MAPK-p38-p2
404	plate_1_241	AG1478	0.0029945603454895	MAPK-p38-p2
405	plate_4_241	AG1478	0.0029669586769777	MAPK-p38-p2
406	plate_6_241	AG1478	0.0029848704290015	MAPK-p38-p2
407	plate_3_206	vehicle	0.0026548081476709	MAPK-p38-p2
408	plate_5_206	AG1478	0.0035580132862893	MAPK-p38-p2
411	plate_5_165	vehicle	0.0025593644295728	MAPK-p38-p2
412	plate_1_230	vehicle	0.0042321275214064	MAPK-p38-p2
413	plate_2_230	AG1478	0.0028920487033342	MAPK-p38-p2
414	plate_4_230	AG1478	0.0031090712563349	MAPK-p38-p2
415	plate_1_203	vehicle	0.0029126460747494	MAPK-p38-p2
416	plate_2_203	vehicle	0.00348970713419	MAPK-p38-p2
418	plate_3_209	vehicle	0.0028247683574126	MAPK-p38-p2
419	plate_4_209	AG1478	0.0032288402416357	MAPK-p38-p2
420	plate_5_209	vehicle	0.0031294569742577	MAPK-p38-p2
422	plate_4_223	AG1478	0.0030319082588296	MAPK-p38-p2
423	plate_2_236	AG1478	0.0032351071769844	MAPK-p38-p2
425	plate_5_236	AG1478	0.0031916623379635	MAPK-p38-p2
426	plate_1_159	AG1478	0.0029686314016597	MAPK-p38-p2
427	plate_2_159	vehicle	0.0030389893384108	MAPK-p38-p2
428	plate_5_159	AG1478	0.0027667446318218	MAPK-p38-p2
430	plate_4_219	vehicle	0.0030950337436212	MAPK-p38-p2
431	plate_5_219	vehicle	0.0031373417108883	MAPK-p38-p2
433	plate_1_212	vehicle	0.0037217961447898	MAPK-p38-p2
434	plate_2_212	vehicle	0.0037593700115676	MAPK-p38-p2
436	plate_2_238	AG1478	0.0030656653824642	MAPK-p38-p2
437	plate_4_238	AG1478	0.0029569877501816	MAPK-p38-p2
438	plate_5_238	vehicle	0.0028134915646202	MAPK-p38-p2
439	plate_6_238	AG1478	0.0034350074015903	MAPK-p38-p2
440	plate_2_232	AG1478	0.0026401703922549	MAPK-p38-p2
441	plate_3_232	AG1478	0.003480392280716	MAPK-p38-p2
442	plate_5_232	AG1478	0.0034321782429341	MAPK-p38-p2
